contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Echt voor Albrandswaard (EVA),CDA,Partij van de Arbeid (P.v.d.A.),Nieuwe Albrandswaardse Partij (NAP),ChristenUnie-SGP,Stem-Lokaal,GROENLINKS,Leefbaar Albrandswaard
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau OBS Valckesteyn Noord,0613::SB1,3176 VA,2015,1076,8,5,0,0,0,994,95,0,0,0,0,0,1089,270,189,95,61,44,25,148,77,167
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Cultureel centrum De Brinkhoeve,0613::SB2,3171 GG,1436,788,1,2,0,0,0,707,84,0,0,0,0,0,791,98,97,92,85,37,64,100,42,173
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Delta Psychiatrisch Centrum,0613::SB3,3172 AA,969,369,2,4,0,0,0,336,38,0,1,0,1,0,374,58,58,33,24,42,17,39,36,62
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau FPC De Kijvelanden,0613::SB4,3172 AB,184,27,0,0,0,0,0,27,0,0,0,0,0,0,27,6,0,2,6,0,2,0,9,2
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Hooge Werf Zorgcentrum,0613::SB5,3171 BJ,1770,1175,1,5,0,1,0,1065,115,0,1,0,0,0,1180,203,184,124,92,48,59,137,87,241
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Korfbalvereniging RWA,0613::SB6,3171 AL,1210,648,4,1,0,0,0,582,70,0,1,0,0,0,652,131,108,76,33,32,31,77,46,114
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau OBS De Overkant,0613::SB7,3161 LG,1432,816,4,5,0,0,0,739,88,0,0,2,0,0,827,120,183,81,56,43,39,140,50,104
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Hervormd Centrum,0613::SB8,3161 AC,1330,736,6,2,0,0,0,672,72,0,0,0,0,0,744,123,179,92,37,48,37,113,48,59
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Maranathakerk Rhoon,0613::SB9,3161 HG,1490,986,7,2,0,2,0,889,109,1,0,3,0,0,998,241,154,200,45,44,60,124,52,66
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau De Klepperwei,0613::SB10,3161 TW,1148,853,5,2,0,0,0,792,68,0,0,0,0,0,860,122,144,125,57,53,34,192,43,83
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Lawn Tennis Club Rhoon,0613::SB11,3161 GM,1197,635,2,1,0,0,0,551,87,0,0,0,0,0,638,210,103,60,54,22,37,72,31,46
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Wijkgebouw Portland A,0613::SB12,3162 WK,1227,750,7,2,0,0,0,672,87,0,0,0,0,0,759,205,150,44,49,44,47,67,59,85
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Wijkgebouw Portland B,0613::SB13,3162 WK,2740,962,0,3,0,0,0,859,106,0,0,0,0,0,965,255,192,76,66,46,56,104,66,101
,Albrandswaard,GR2018_Albrandswaard,Gemeenteraad Albrandswaard 2018,0613,Albrandswaard,2018-03-21,Stembureau Portocabin Parels,0613::SB14,3162 VK,1316,701,2,2,0,0,0,630,75,0,0,0,0,0,705,180,145,68,45,21,62,81,25,74
