contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,Democraten 66 (D66),CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Meedenken met Lochem (MmL)
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Woonzorgcentrum Gudula,0262::SB1,7241 AR,1589,850,3,2,0,0,0,803,52,0,0,0,0,0,855,193,84,93,126,153,141,60
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Gemeentehuis Lochem,0262::SB2,7241 CR,1117,588,8,2,0,0,0,552,46,0,0,0,0,0,598,148,58,51,78,103,107,43
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Jan Wissinkhal LTTC de Toekomst,0262::SB3,7241 VE,1651,1075,4,3,0,0,0,1003,79,0,0,0,0,0,1082,225,127,127,203,158,156,79
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau de Rank,0262::SB4,7242 KH,1518,972,1,0,0,0,0,908,65,0,0,0,0,0,973,251,111,103,117,171,157,62
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau St Josephschool,0262::SB5,7242 GZ,1231,724,5,2,0,1,0,669,61,0,1,0,0,0,730,152,90,75,91,144,107,65
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Parochiezaal RK kerk,0262::SB6,7241 DX,1042,641,2,0,0,0,0,575,67,0,1,0,1,0,642,147,72,86,102,77,123,34
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau de Hoge Weide,0262::SB7,7241 GR,1580,1099,8,4,0,0,0,1018,93,0,0,0,0,0,1111,230,156,132,208,141,183,49
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau CR Bousema,0262::SB8,7241 KP,1001,625,3,1,0,0,0,560,69,0,0,0,0,0,629,142,66,91,106,79,85,56
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Brandweerkazerne,0262::SB9,7245 BL,1502,989,2,0,0,0,0,921,70,0,0,0,0,0,991,468,51,101,195,64,83,27
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau de Branink,0262::SB10,7245 AH,1145,895,5,3,0,1,0,821,83,0,0,1,0,0,904,456,51,97,151,56,61,23
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau de Mölle,0262::SB11,7245 VJ,940,531,0,0,0,0,0,477,54,0,0,0,0,0,531,237,28,52,105,40,61,8
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Gemeenschapscentrum 't Onderschoer,0262::SB12,7244 BB,1462,973,2,3,0,0,0,887,90,0,1,0,1,0,977,420,78,114,128,82,119,32
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Brandweerkazerne Gorssel,0262::SB13,7213 CV,1708,1168,2,0,0,1,0,1076,95,0,0,1,0,0,1171,166,195,205,238,98,218,48
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau De Borkel,0262::SB14,7213 CS,1731,1188,5,3,0,0,0,1101,93,0,2,0,2,0,1194,194,208,177,232,107,225,45
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Steunpunt 't Wansinkhof,0262::SB15,7214 AH,1734,1083,4,2,0,1,0,985,103,0,1,0,0,0,1088,197,137,127,270,165,159,28
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Ons Gebouw,0262::SB16,7217 TN,1469,1017,2,0,0,0,0,950,69,0,0,0,0,0,1019,384,67,179,155,36,114,82
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Ons Huis,0262::SB17,7218 AC,1186,845,4,1,0,0,0,779,71,0,0,0,0,0,850,84,57,291,132,37,209,35
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau 't Spijk,0262::SB18,7211 EK,1687,928,4,5,0,1,0,870,68,0,0,1,0,0,938,81,83,152,179,88,218,127
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Het hart,0262::SB19,7211 DM,1909,1182,5,2,0,1,0,1104,87,1,0,2,0,0,1191,123,107,189,221,113,336,93
,Lochem,GR2018_Lochem,Gemeenteraad Lochem 2018,0262,Lochem,2018-03-21,Stembureau Staring College,0262::SB20,7241 SE,0,77,0,1,0,0,0,75,3,0,0,0,0,0,78,18,12,10,8,17,10,2
