contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LOKAAL BELANG,CDA,VVD,Partij Welzijn Maasgouw-50PLUS,Liberale Volkspartij Maasgouw (LVM),Nieuw Links Maasgouw
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Sporthal Andreashal,1641::SB1,6051HM,2139,964,6,1,0,0,0,970,1,0,0,0,0,0,971,380,237,69,100,45,133
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Basisschool 't Breerke,1641::SB2,6051GG,2596,1090,16,6,0,0,0,1001,111,0,0,0,0,0,1112,409,242,85,98,77,179
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Gemeenschapshuis Baekerhoes,1641::SB3,6051JG,1081,625,10,5,0,0,0,581,59,0,0,0,0,0,640,143,205,62,34,53,128
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Zalencentrum De Harmonie,1641::SB4,6067BP,1330,792,4,1,0,0,0,709,88,0,0,0,0,0,797,321,61,161,117,65,67
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Trefcentrum Stevensweert,1641::SB5,6107BZ,1383,765,4,3,0,1,0,694,79,0,0,1,0,0,773,68,288,204,127,25,53
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Verenigingszaal Ohé en Laak,1641::SB6,6109AR,696,435,3,1,0,0,0,391,48,0,0,0,0,0,439,50,310,24,14,8,29
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Kantine Sporthal Reutsdael,1641::SB7,6097BH,1501,863,8,4,0,0,0,797,78,0,0,0,0,0,875,237,289,48,59,139,91
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Proteion St. Jozef,1641::SB8,6019AN,1691,906,4,3,0,0,0,813,100,0,0,0,0,0,913,649,56,28,49,50,74
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Gemeenschapshuis 't Leuke,1641::SB9,6099AR,1468,778,4,3,0,0,0,715,70,0,0,0,0,0,785,325,86,34,30,229,74
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Proteion Sterrebosch,1641::SB10,6017AL,2045,1195,12,9,0,0,0,1078,140,2,0,2,0,0,1218,459,284,232,55,74,91
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Voormalig Gemeentehuis Heel,1641::SB11,6097AS,2309,786,13,6,0,0,0,727,78,0,0,0,0,0,805,214,237,73,53,125,84
,Maasgouw,GR2018_Maasgouw,Gemeenteraad Maasgouw 2018,1641,Maasgouw,2018-03-21,Stembureau Kantine Tennispark TC Linne,1641::SB12,6067JA,1738,747,6,2,0,0,0,668,87,0,0,0,0,0,755,317,65,115,162,39,49
