contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Open en Duidelijk Stede Broec,CDA,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,Gemeente Belangen Stede Broec (GBS),Onafhankelijke Partij,VVD
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Verenigingsgebouw De Wurf,0532::SB1,1614 SH,1945,1186,4,7,0,0,0,1087,109,0,1,0,1,0,1196,203,621,125,40,30,167
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Dorpshuis De Stek,0532::SB2,1613 LA,2120,1102,6,1,0,0,0,1009,100,0,0,0,0,0,1109,329,335,133,53,68,184
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Gemeentehuis,0532::SB3,1611 KW,1506,1087,6,3,0,0,0,1007,89,0,0,0,0,0,1096,380,289,172,78,60,108
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Basisschool De Klimop,0532::SB4,1611 JH,1894,1102,0,5,0,0,0,1032,75,0,0,0,0,0,1107,370,319,124,67,45,177
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Stichting Het Vereenigingsgebouw,0532::SB5,1611 AM,1849,946,8,9,0,0,0,889,75,0,0,1,0,0,964,323,247,105,59,59,153
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau 't Vierspan locatie De Wendel,0532::SB6,1611 XE,1609,668,5,4,0,0,0,613,64,0,0,0,0,0,677,265,166,67,52,48,70
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau St. Peuterspeelzalen Kiddy World,0532::SB7,1611 ZB,1251,738,5,4,0,0,0,689,59,1,0,1,0,0,748,295,144,79,83,49,88
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau SBO 't Palet Bovenkarspel,0532::SB8,1611 WS,1807,789,6,6,0,0,0,741,60,0,0,0,0,0,801,269,150,125,118,50,77
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau R.K. Jenaplan Basisschool De Hussel,0532::SB9,1613 AL,1631,772,7,2,0,0,0,722,59,0,0,0,0,0,781,267,140,164,103,28,70
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau 't Vierspan locatie De Woud,0532::SB10,1613 EV,1481,677,4,0,0,0,0,625,58,2,0,2,0,0,683,252,139,89,65,43,89
,Stede Broec,GR2018_StedeBroec,Gemeenteraad Stede Broec 2018,0532,Stede Broec,2018-03-21,Stembureau Mobiel stembureau,0532::SB11,,0,70,2,0,0,0,0,70,2,0,0,0,0,0,72,21,27,8,6,3,5
