contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Heemskerk Lokaal,Liberaal Heemskerk,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,VVD,ChristenUnie
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Woonzorgcentrum Sint Agnes,0396::SB1,,2081,893,7,4,0,0,0,833,71,0,0,0,0,0,904,143,181,185,69,104,100,84,27
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Verpleeghuis Meerstate,0396::SB2,,1746,1043,5,2,0,0,0,973,77,0,0,0,0,0,1050,165,221,160,114,112,140,112,19
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Basisschool De Otterkolken,0396::SB3,,1990,1011,12,6,0,0,0,925,104,0,0,0,0,0,1029,116,214,162,114,100,155,113,37
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Basisschool De Zevenhoeven,0396::SB4,,1976,989,11,6,0,0,0,932,74,0,0,0,0,0,1006,171,217,156,131,91,114,86,23
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Brandweerkazerne,0396::SB5,,1743,692,6,5,0,0,0,648,55,0,0,0,0,0,703,130,135,124,60,89,76,67,11
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Buurthuis de Schuilhoek,0396::SB6,,1743,642,8,10,0,0,0,619,41,0,0,0,0,0,660,139,131,76,70,45,84,85,12
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Gemeentehuis,0396::SB7,,2344,1337,9,11,0,3,1,1231,128,0,0,3,0,0,1360,214,238,305,140,123,120,185,12
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Woongroep van Ouderen Burisbeek,0396::SB8,,1810,1005,0,10,0,0,0,935,80,0,0,0,0,0,1015,162,196,172,121,55,119,148,32
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Verpleeghuis Heemswijk,0396::SB9,,1873,993,8,2,0,0,0,914,89,0,0,0,0,0,1003,154,199,161,112,72,133,136,26
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Buurtcentrum D'Evelaer,0396::SB10,,1443,761,2,2,0,0,0,690,75,0,0,0,0,0,765,163,107,114,80,49,59,177,12
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Woonzorgcentrum Westerheem,0396::SB11,,2026,1033,4,3,0,0,0,960,80,0,0,0,0,0,1040,218,198,140,117,99,120,122,19
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Anne Frank School,0396::SB12,,1731,984,8,3,0,0,0,900,95,0,0,0,0,0,995,173,170,172,116,84,123,121,25
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau De Harteheem,0396::SB13,,1545,586,7,2,0,0,0,560,35,0,0,0,0,0,595,108,163,80,49,44,62,54,26
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau OBS 't Tweespan,0396::SB14,,2016,1011,4,4,0,0,0,929,90,0,0,0,0,0,1019,126,238,159,109,90,120,128,41
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Basisschool De Vlinder,0396::SB15,,2274,735,12,1,0,0,0,710,38,0,0,0,0,0,748,80,175,132,60,75,111,63,39
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Wijkcentrum Citadel,0396::SB16,,1726,788,7,4,0,0,0,749,50,0,0,0,0,0,799,80,138,108,96,41,98,211,16
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Basisschool De Bareel,0396::SB17,,1527,844,9,5,0,0,0,776,83,0,0,1,1,0,859,130,124,136,105,49,100,182,18
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Slot Assumburg,0396::SB18,,0,283,0,1,0,0,0,231,53,0,0,0,0,0,284,36,57,37,34,28,59,23,9
,Heemskerk,GR2018_Heemskerk,Gemeenteraad Heemskerk 2018,0396,Heemskerk,2018-03-21,Stembureau Stembus de Engelse dubbeldekker,0396::SB19,,0,284,3,1,0,0,0,278,10,0,0,0,0,0,288,34,64,39,39,22,43,34,9
