contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang Zwijndrecht,ChristenUnie-SGP,CDA,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Zwijndrechtse Plus Partij,GROENLINKS,SP (Socialistische Partij)
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Gemeentehuis,0642::SB1,,1789,1666,6,7,0,0,0,1512,167,0,0,0,0,0,1679,462,291,196,208,112,109,108,106,74
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau NS Station Zwijndrecht,0642::SB2,,0,950,7,8,0,0,0,935,30,0,0,0,0,0,965,267,129,62,105,91,64,79,106,47
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Verenigingsgebouw 'P.V. Steeds Sneller',0642::SB3,,2062,640,4,4,0,0,0,586,61,0,1,0,0,0,647,205,96,86,93,37,22,54,22,25
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Kinderdagcentrum 'Ons Blije Honck',0642::SB4,,1566,935,4,1,0,0,0,851,89,0,0,0,0,0,940,245,175,107,107,97,57,56,64,27
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Winkelcentrum Walburg,0642::SB5,,3239,1858,13,10,0,3,0,1726,152,0,3,0,0,0,1878,487,274,219,201,159,124,151,149,94
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Capital Sports 'Rob Sterkenzaal',0642::SB6,,2248,1245,3,2,0,1,0,1130,122,0,0,2,0,0,1252,261,323,194,113,88,89,84,45,48
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Wijkaccommodatie Xiejezo,0642::SB7,,2902,1117,3,3,0,0,0,999,124,0,0,0,0,0,1123,209,241,107,72,61,222,86,72,47
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Wijkaccommodatie Hart van Meerdervoort,0642::SB8,,1761,940,6,5,0,7,0,867,91,0,0,7,0,0,958,216,170,75,60,59,128,91,59,82
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Wijkaccommodatie Kubiek,0642::SB9,,3676,1189,6,5,0,0,0,1097,103,0,0,0,0,0,1200,310,159,131,130,73,99,131,69,87
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Wijkaccommodatie 't Klankbord,0642::SB10,,3652,2150,5,5,0,6,0,1956,210,0,0,6,0,0,2166,650,263,209,350,165,147,173,124,69
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Activiteitencentrum De Nedenrburgh / Cannenburgh,0642::SB11,,3517,1204,4,4,0,0,0,1115,97,0,0,0,0,0,1212,333,187,167,133,110,80,75,77,42
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Sporthal ''Den Dam'',0642::SB12,,3096,1647,7,8,0,0,0,1516,173,0,0,27,0,0,1689,475,127,276,224,240,56,60,89,100
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Sportcomplex ''De Hoge Devel'',0642::SB13,,1528,905,3,6,0,0,0,815,99,0,0,0,0,0,914,249,130,75,90,72,66,101,66,56
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Nebo,0642::SB14,,1135,133,2,1,0,0,0,122,14,0,0,0,0,0,136,28,10,25,10,5,14,25,5,11
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau Swinhove / Ambachstaete,0642::SB15,,1656,141,2,3,0,0,0,128,18,0,0,0,0,0,146,0,133,4,1,0,1,1,1,0
,Zwijndrecht,GR2018_Zwijndrecht,Gemeenteraad Zwijndrecht 2018,0642,Zwijndrecht,2018-03-21,Stembureau De Lichtkring,0642::SB16,,1562,68,1,0,0,0,0,63,6,0,0,0,0,0,69,15,11,9,5,3,5,11,2,7
