contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,TOP/GEMEENTEBELANGEN,CDA,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,55 terneuzen,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP),GROENLINKS,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),50PLUS,Provinciaal Belang Zeeland,Sociaal Terneuzen
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Dienstencentrum De Veste,0715::SB1,4531 GV,2211,1200,1,3,0,0,0,1080,124,0,0,0,0,0,1204,219,199,121,135,53,25,43,48,53,150,55,42,6,51
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Buurtcentrum De Triangel,0715::SB2,4531 CL,1520,549,1,1,0,0,0,498,53,0,0,0,0,0,551,45,63,48,64,14,16,19,8,67,93,50,29,16,17
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Buurthuis De Kameleon,0715::SB3,4537 RJ,1036,548,1,8,0,4,0,505,56,0,0,4,0,0,561,79,63,105,20,22,22,8,22,28,89,30,23,6,31
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Sportcentrum Vliegende Vaart,0715::SB4,4537 DH,1572,902,3,4,0,0,0,803,106,0,0,0,0,0,909,118,156,101,90,39,20,60,66,43,87,48,25,8,41
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Zorgcentrum Bachten Dieke,0715::SB5,4532 BP,1957,1202,1,3,0,1,0,1074,131,0,1,0,0,0,1205,187,265,96,84,69,32,25,89,62,156,28,57,17,35
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau SVRZ De Blide,0715::SB6,,1427,600,1,2,0,0,0,534,69,0,0,0,0,0,603,86,117,84,37,41,13,16,37,25,73,31,15,4,21
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Praktijkschool De Sprong,0715::SB7,4535 AD,1439,572,2,4,0,1,0,531,48,0,0,1,0,0,579,85,112,58,58,32,9,20,21,28,60,28,36,5,20
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau SVRZ Ter Schorre,0715::SB8,4536 GD,1839,1098,0,1,0,0,0,992,107,0,0,0,0,0,1099,177,160,126,36,62,37,29,50,35,146,84,66,5,85
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Basisschool De Geule,0715::SB9,4535 EV,1837,653,1,2,0,0,0,564,92,0,0,0,0,0,656,90,144,58,67,45,13,26,32,22,78,15,29,17,17
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau O.B.S. De Meerpaal,0715::SB10,4535 ED,1624,1021,2,5,0,0,0,913,115,0,0,0,0,0,1028,137,237,99,122,58,35,46,31,61,87,31,38,14,25
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Brede School De Twijn,0715::SB11,4532 JM,1596,921,3,1,0,8,0,827,106,0,0,8,0,0,933,144,164,84,79,58,22,41,71,60,116,41,9,5,27
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Brede School Othene,0715::SB12,4533 DW,2644,1543,3,6,0,3,0,1399,156,0,0,3,0,0,1555,212,340,121,319,80,15,75,49,76,146,22,27,23,38
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau O.B.S. 't Geuzennest,0715::SB13,4521 AA,1290,745,3,2,0,0,0,674,76,0,0,0,0,0,750,45,234,72,76,19,20,27,75,56,55,18,34,4,10
,Terneuzen,GR2018_Terneuzen,Gemeenteraad Terneuzen 2018,0715,Terneuzen,2018-03-21,Stembureau Zorgcentrum Vremdieke,0715::SB14,4542 EE,1147,658,4,3,0,0,0,598,67,0,0,0,0,0,665,234,85,44,40,56,4,7,82,14,53,17,12,4,6
