contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Heeze-Leende,VVD,Democraten 66 (D66),Partij Voor Oud en Jong-GroenLinks,Partij van de Arbeid (P.v.d.A.),De Lokale Liberale Partij,Algemeen belang Heeze-Leende (AbHL)
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Dorpshuis 't Perron,1658::SB1,5591HM,1302,748,8,1,0,0,0,699,58,0,0,0,0,0,757,119,238,95,43,90,68,18,77
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Handboogsportvereniging Rozen van Oranje,1658::SB2,5591GH,1383,564,2,1,0,0,0,517,50,0,0,0,0,0,567,70,102,147,52,71,61,8,53
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Gemeentehuis,1658::SB3,5591HS,1401,1020,13,1,0,0,0,935,99,0,0,0,0,0,1034,225,246,168,58,133,90,16,84
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Kindcentrum De Parel,1658::SB4,5591BM,1361,937,6,3,0,0,0,859,87,0,0,0,0,0,946,122,218,169,48,133,80,28,139
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Heemkundekring de Heerlijkheid HLZ,1658::SB5,5591NE,1268,814,4,2,0,0,0,745,75,0,0,0,0,0,820,90,208,116,60,138,82,21,99
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Basisschool De Trumakkers,1658::SB6,5591NG,1320,722,8,5,0,0,0,671,65,0,0,1,0,0,736,68,227,104,66,86,56,32,83
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Gemeenschapshuis De Meent,1658::SB7,5595CM,1242,899,2,8,0,0,0,785,125,0,0,1,0,0,910,339,154,73,68,143,40,54,28
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Basisschool Sint Jan,1658::SB8,5595GN,1168,381,5,1,0,0,0,344,43,0,0,0,0,0,387,132,66,43,48,47,16,20,9
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Zorgcentrum Leenderhof,1658::SB9,5595EP,1190,862,2,2,0,0,0,775,91,0,0,0,0,0,866,233,140,114,87,131,42,82,33
,Heeze-Leende,GR2018_HeezeLeende,Gemeenteraad Heeze-Leende 2018,1658,Heeze-Leende,2018-03-21,Stembureau Dorpshuis Valentijn,1658::SB10,6029RJ,1308,631,7,3,0,0,0,575,66,0,0,0,0,0,641,249,106,59,51,63,34,16,53
