contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,OGP Midden-Delfland,Mijn Partij,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau Dienstencentrum Kickerthoek,1842::SB1,2635 JM,1521,964,3,5,0,0,0,901,71,0,0,0,0,0,972,187,227,200,128,40,115,67
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau De Hoornbloem 1,1842::SB2,2635 HD,1525,1203,9,4,0,1,0,1091,127,1,0,2,0,0,1218,174,285,235,181,86,178,64
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau De Hoornbloem 2,1842::SB3,2635 HD,1608,1170,7,0,0,0,0,1050,127,0,0,0,0,0,1177,209,276,258,161,76,131,59
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau Schoolwoning,1842::SB4,2635 MH,1768,785,0,1,0,0,0,673,113,0,0,0,0,0,786,104,199,135,161,25,116,45
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau Singelhof 1,1842::SB5,3155 AL,1743,1158,8,0,0,0,0,1056,110,0,0,0,0,0,1166,334,252,58,311,53,55,95
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau Singelhof 2,1842::SB6,3155 AL,1782,1235,3,3,0,0,0,1125,116,0,0,0,0,0,1241,411,233,83,312,31,75,90
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau De Oude Pastorie,1842::SB7,3155 AM,1680,1080,6,3,0,0,0,964,125,0,0,0,0,0,1089,363,220,74,255,49,59,60
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau Dienstencentrum Korpershoek,1842::SB8,2636 JA,1837,845,3,1,0,0,0,758,91,0,0,0,0,0,849,241,167,205,120,33,51,28
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau De Dorpshoeve,1842::SB9,2636 GM,1497,1422,5,1,0,0,0,1269,159,0,0,0,0,0,1428,310,285,370,212,78,90,77
,Midden-Delfland,GR2018_MiddenDelfland,Gemeenteraad Midden-Delfland 2018,1842,Midden-Delfland,2018-03-21,Stembureau WoonZorgCentrum Akkerleven,1842::SB10,2636 JJ,66,44,0,0,0,0,0,39,5,0,0,0,0,0,44,17,6,4,9,5,3,0
