contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,CDA,Harderwijk Anders,VVD,Partij van de Arbeid (P.v.d.A.),GEMEENTEBELANG HARDERWIJK/HIERDEN,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP),9,GROENLINKS,Wij Harderwijk
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,"Stembureau Christelijk Gereformeerde Kerk ""de Zaaier'",0243::SB1,3841 KX,1375,844,7,2,0,0,0,768,85,0,0,0,0,0,853,113,86,173,164,57,35,83,44,6,53,30
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau CBS 'Het Kompas',0243::SB2,3841 KK,1341,661,1,3,0,0,0,581,84,0,0,0,0,0,665,101,86,139,87,52,30,57,19,11,48,31
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau CBS 'De Rank',0243::SB3,3841 CV ,1061,720,2,1,0,0,0,644,79,0,0,0,0,0,723,64,83,162,177,34,15,122,12,8,33,10
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Sociaal Centrum 'de Kiekmure' (1),0243::SB4,3842 GA,1628,1063,1,2,0,0,0,963,103,0,0,0,0,0,1066,192,119,205,197,72,57,77,51,14,47,32
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Sociaal Centrum 'de Kiekmure' (2),0243::SB5,3842 GA,1769,1131,0,6,0,2,0,1021,119,0,0,3,0,0,1140,173,137,232,199,58,63,100,56,15,63,35
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Mehmet Akif Moskee,0243::SB6,3842 GV,1577,623,3,4,0,0,0,524,106,0,0,0,0,0,630,57,44,316,44,63,14,31,13,0,32,9
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Buurthuis 'de Tweeling',0243::SB7,3843 EB,2080,849,4,4,0,1,0,775,83,0,0,1,0,0,858,195,88,176,100,60,52,46,43,17,47,25
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Clusterhuis,0243::SB8,3844 MB,1385,451,2,4,0,0,0,414,43,0,0,0,0,0,457,70,22,141,30,44,19,43,14,3,45,20
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Gebouw van de Stedelijke Harmonie,0243::SB9,3842 GD,2135,973,2,2,0,0,0,873,104,0,0,0,0,0,977,121,70,308,135,68,65,50,40,16,77,23
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau CBS 'Willem-Alexander',0243::SB10,3843 BG,1389,1002,3,2,0,0,0,910,97,0,0,0,0,0,1007,203,125,186,185,67,41,74,28,7,68,18
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Gebouw Leger des Heils,0243::SB11,3844 BD,1254,919,0,1,0,0,0,837,83,0,0,0,0,0,920,175,106,138,179,66,26,107,36,3,76,7
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Woonzorgcentrum 'Randmeer',0243::SB12,3844 DE,1264,862,4,2,0,2,0,811,55,0,2,0,0,0,866,137,157,127,199,38,37,51,28,11,59,18
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Zalencentrum 'de Roef' (1),0243::SB13,3844 JV,1456,904,3,3,0,1,1,825,83,0,1,0,0,0,909,167,87,177,135,96,29,101,17,17,69,9
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Zalencentrum 'de Roef' (2),0243::SB14,3844 JV,1229,714,1,4,0,1,0,655,65,0,0,1,0,0,720,124,77,121,96,68,26,103,14,15,54,16
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau GBS 'Fontanusschool',0243::SB15,3844 HZ,1241,971,1,2,0,3,0,871,100,0,3,0,0,0,971,237,77,198,132,77,33,113,15,4,67,18
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau 'Dorpskerk' Hierden,0243::SB16,3849 AD,1407,1051,0,1,0,1,0,942,111,0,0,1,0,0,1053,191,127,52,234,24,208,36,121,12,35,11
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau 'Dorpshuis' Hierden,0243::SB17,3849 BL,1311,582,0,1,0,0,0,504,79,0,0,0,0,0,583,77,60,56,149,9,133,17,57,9,8,7
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Wooncentrum 'Walstein',0243::SB18,3848 AE,1291,731,1,2,0,0,0,668,66,0,0,0,0,0,734,146,99,130,130,43,47,46,32,9,41,8
,Harderwijk,GR2018_Harderwijk,Gemeenteraad Harderwijk 2018,0243,Harderwijk,2018-03-21,Stembureau Hervormde Kerk 'Het Visnet',0243::SB19,3848 DE,1137,892,0,4,0,3,0,816,83,0,0,3,0,0,899,245,120,73,182,48,54,63,37,12,42,16
