contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),GROENLINKS,Stadspartij Wageningen,Partij van de Arbeid (P.v.d.A.),CDA,VVD,SP (Socialistische Partij),ChristenUnie,Connect Wageningen
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Stadhuis,0289::SB1,6701 CZ,1983,1566,6,3,0,0,0,1464,111,0,0,0,0,0,1575,319,382,267,124,46,120,55,83,170
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Verzorgingshuis De Nudehof,0289::SB2,6702 BR,1941,937,7,4,0,0,0,894,54,0,0,0,0,0,948,154,142,216,80,79,57,70,85,54
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Verzorgingshuis Rumah Kita,0289::SB3,6708 AL,2026,792,6,2,0,0,0,719,80,0,1,0,0,0,799,127,159,184,58,52,74,63,55,20
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau 't Startpunt,0289::SB4,6707 GX,1924,795,5,1,0,0,0,731,70,0,0,0,0,0,801,88,155,221,85,71,39,53,62,21
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Gereformeerde Kerk Vrijgemaakt,0289::SB5,6706 BE,1528,977,2,5,0,0,0,909,75,0,0,0,0,0,984,159,218,195,83,64,85,65,80,28
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Johan Frisoschool Zuid,0289::SB6,6708 BR,1649,887,2,0,0,0,0,815,74,0,0,0,0,0,889,105,230,206,72,55,61,58,84,16
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Wijkcentrum Pomhorst,0289::SB7,6708 CV,1645,804,1,3,0,0,0,728,80,0,0,0,0,0,808,109,174,176,64,54,66,76,54,31
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau OBS  De Tarthorst,0289::SB8,6708 JA,986,744,5,1,0,0,0,694,56,0,0,0,0,0,750,96,188,148,58,56,43,62,50,43
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau Speeltuinvereniging Tuindorp,0289::SB9,6707 HR,1265,553,3,4,0,0,0,511,49,0,0,0,0,0,560,56,103,146,65,46,18,60,43,16
,Wageningen,GR2018_Wageningen,Gemeenteraad Wageningen 2018,0289,Wageningen,2018-03-21,Stembureau H.J. Piekschool,0289::SB10,6708 KP,1266,609,2,0,0,0,0,569,42,0,0,0,0,0,611,93,158,117,43,37,77,36,28,20
