contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,LP (Libertarische Partij)
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Rosengaerde,0148::SB1,7721 CT,1438,1081,1,5,0,0,0,1003,84,0,0,0,0,0,1087,401,232,167,118,82,73,8
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1423,971,1,2,0,0,0,892,82,0,0,0,0,0,974,274,373,29,86,102,96,11
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau De Wiekelaar,0148::SB3,7722 ST,1220,787,2,3,0,0,0,713,79,0,0,0,0,0,792,284,271,117,36,31,42,6
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1366,933,0,2,0,0,0,824,111,0,0,0,0,0,935,363,263,87,55,108,51,6
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,713,543,0,1,0,0,0,488,56,0,0,0,0,0,544,169,159,96,30,36,47,6
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,900,937,1,1,0,0,0,847,92,0,0,0,0,0,939,307,136,239,95,61,89,10
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Gemeentehuis,0148::SB7,7721 AX,1069,868,3,1,0,1,0,779,94,0,0,1,0,0,873,290,147,110,125,118,72,6
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1308,1107,1,0,0,0,0,1023,85,0,0,0,0,0,1108,351,208,227,122,113,73,13
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,995,623,2,2,0,0,0,579,48,0,0,0,0,0,627,157,271,24,50,57,60,4
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1593,860,0,1,0,0,0,785,76,0,0,0,0,0,861,316,141,140,88,100,60,15
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau NH Jeugdgebouw,0148::SB11,7711 CD,1727,1199,4,1,0,1,0,1098,105,0,1,0,0,0,1203,525,261,178,95,33,102,5
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau CBS Het Kompas,0148::SB12,7711 GC,1090,639,0,1,0,0,0,574,66,0,0,0,0,0,640,163,179,161,41,48,41,6
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Maranathakerk,0148::SB13,7711 HS,1425,879,2,2,0,0,0,807,76,0,0,0,0,0,883,416,132,200,44,26,52,9
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Restaurant Madrid,0148::SB14,7722 HS,487,267,1,0,0,0,0,230,38,0,0,0,0,0,268,62,95,28,20,22,33,7
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau De Schakel,0148::SB15,7711 KK,1604,970,3,1,0,0,0,875,99,0,0,0,0,0,974,463,130,166,84,41,77,9
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau De Hulstkampen,0148::SB16,7711 JE,1403,862,5,2,0,0,0,792,77,0,0,0,0,0,869,367,183,174,75,22,28,13
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau Station Dalfsen,0148::SB17,7722 HA,0,69,2,0,0,0,0,66,5,0,0,0,0,0,71,22,8,9,7,11,12,0
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau 't Noaberhuus,0148::SB18,7721 KD,1044,481,1,1,0,0,0,435,48,0,0,0,0,0,483,144,83,103,49,40,57,5
,Dalfsen,GR2018_Dalfsen,Gemeenteraad Dalfsen 2018,0148,Dalfsen,2018-03-21,Stembureau OBS Heidepark,0148::SB20,8151 AN,1189,646,2,1,0,0,0,609,40,0,0,0,0,0,649,223,248,15,41,60,56,3
