contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal+,CDA,Keerpunt74,VVD,Morgen!,Democraten 66 (D66),7
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Gemeentehuis,0779::SB1,4941DX,2008,1359,11,11,0,0,0,1243,138,0,0,0,0,0,1381,320,158,225,215,221,46,174
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Woonzorgcentrum de Mauritsstaete,0779::SB2,4931HV,1121,831,3,4,0,0,0,769,72,3,0,3,0,0,841,89,76,378,71,123,24,70
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau RK Kerk Gertrudis,0779::SB3,4931BP,1431,614,4,4,0,0,0,571,51,0,0,0,0,0,622,61,36,231,81,134,21,50
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau De Schattelijn,0779::SB4,4931AZ,1289,806,2,0,0,0,0,729,79,0,0,0,0,0,808,82,60,292,133,144,35,60
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau kinderboerderij de Kromme Akker,0779::SB5,4931XA,1700,564,1,2,0,0,0,519,48,0,0,0,0,0,567,53,24,278,43,96,14,56
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau locatie Dongemondcollege,0779::SB6,4942VC,1697,607,3,0,0,0,0,533,77,0,0,0,0,0,610,188,55,104,81,79,64,36
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Zorgcentrum Het Hoge Veer,0779::SB7,4941KH,1624,832,10,3,0,0,0,756,89,0,0,0,0,0,845,214,176,78,138,107,45,74
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Bibliotheek,0779::SB8,4941GE,1843,748,2,1,0,0,0,680,71,0,0,0,0,0,751,185,117,103,104,144,32,63
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau gebouw Maatschappelijk werk/bij Rabobank,0779::SB9,4941GJ,1201,377,1,2,0,0,0,333,47,0,0,0,0,0,380,90,95,34,67,47,21,23
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Buurthuis De Schelf,0779::SB10,4942AW,1716,1096,7,1,0,0,0,1013,91,0,0,0,0,0,1104,263,143,181,148,182,74,105
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Ontmoetingscentrum,0779::SB11,4944XD,1589,945,0,2,0,0,0,851,96,0,0,0,0,0,947,175,381,79,92,143,37,38
,Geertruidenberg,GR2018_Geertruidenberg,Gemeenteraad Geertruidenberg 2018,0779,Geertruidenberg,2018-03-21,Stembureau Mobiel Stembureau,0779::SB12,4941DX,0,22,0,0,0,0,0,20,2,0,0,0,0,0,22,3,10,2,1,5,1,0
