contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,FNP,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),ChristenUnie,Nieuwe Communistische Partij-NCPN,GROENLINKS,Burgerpartij De Fryske Marren
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Gemeentehuis, Joure",1940::SB1,8501 AA,1420,827,6,9,0,2,0,779,65,0,0,2,0,0,844,163,183,112,105,72,26,29,96,41
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Sint Theresia, Joure",1940::SB2,8501 GC,1574,845,2,5,0,0,0,800,52,0,0,0,0,0,852,154,247,115,81,70,35,33,77,33
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,Stembureau Party - Zalencentrum 't Haske Joure,1940::SB3,8501 BA,1338,720,1,0,0,0,0,669,52,0,0,0,0,0,721,125,176,93,107,91,26,8,69,25
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Stuit, Joure",1940::SB4,8501 NC,1376,828,0,1,0,0,0,757,72,0,0,0,0,0,829,146,173,119,109,91,34,12,97,47
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Oerdracht, Joure",1940::SB5,8501 NE,1616,1015,3,0,0,0,0,942,76,0,0,0,0,0,1018,188,274,170,111,74,40,20,95,43
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Brede School , Joure",1940::SB6,8501 HL,1564,837,4,1,0,0,0,787,55,0,0,0,0,0,842,187,149,159,67,53,45,19,83,75
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Stuit, Joure",1940::SB7,8501 NC,1562,893,3,6,0,0,0,832,70,0,0,0,0,0,902,165,205,138,118,87,48,10,86,36
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Doarpshûs, Rottum",1940::SB8,8461 LD,826,457,0,1,0,0,0,411,47,0,0,0,0,0,458,116,80,75,51,26,26,10,62,11
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Yn 'e Doarpsfinne, Rotsterhaule",1940::SB9,8463 ND,1320,702,3,1,0,0,0,620,86,0,0,0,0,0,706,220,153,76,82,39,57,10,38,27
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau MFS It Heechein, Terkaple",1940::SB10,8542 AB,268,182,0,0,0,0,0,170,12,0,0,0,0,0,182,63,46,13,19,10,6,3,14,8
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Dorpshuis Trefpunt, Haskerhorne",1940::SB11,8506 BH,504,305,2,0,0,0,0,288,19,0,0,0,0,0,307,80,76,39,36,31,11,3,17,12
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau Kulturhûs, Oudehaske",1940::SB12,8465 RC,1507,935,2,2,0,1,0,867,71,0,1,0,0,0,938,180,175,125,87,105,63,13,152,35
,De Fryske Marren,GR2018_DeFryskeMarren,Gemeenteraad De Fryske Marren 2018,1940,De Fryske Marren,2018-03-21,"Stembureau De Sethage, Vegelinsoord",1940::SB13,8467 SK,307,186,0,1,0,0,0,168,19,0,0,0,0,0,187,66,55,11,16,12,3,4,9,10
