contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelang Zutphen Warnsveld,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,STADSPARTIJ Zutphen Warnsveld,VVD,CDA,ChristenUnie,BewustZW
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Nieuwe Stadhuis,0301::SB1,7201 DN,1059,782,6,3,0,0,0,747,44,0,0,0,0,0,791,62,71,102,108,223,61,83,26,17,29
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Oude Stadhuis,0301::SB2,7201 DN,1020,933,5,2,0,0,0,862,78,0,0,0,0,0,940,58,112,103,133,229,84,118,45,24,27
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau De Martinet,0301::SB3,7200 AK,1191,576,4,6,0,0,0,542,44,0,0,0,0,0,586,63,96,68,86,113,48,38,22,21,21
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Het Bornhof,0301::SB4,7204 TB,1325,798,0,0,0,0,0,752,46,0,0,0,0,0,798,77,128,66,125,166,56,44,68,34,34
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Waterkracht,0301::SB5,,1691,930,8,6,0,0,0,879,65,0,0,0,0,0,944,152,234,65,132,133,57,44,56,27,30
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau OBS De Waaier,0301::SB6,,1591,400,3,4,0,0,0,374,33,0,0,0,0,0,407,87,97,21,60,57,22,16,11,17,12
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Emmanuelkerk,0301::SB7,,1547,615,7,2,0,0,0,579,45,0,0,0,0,0,624,95,162,34,85,86,35,21,28,42,27
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau Anne Flokstraschool,0301::SB8,,1424,698,8,2,0,2,0,663,47,0,0,2,0,0,710,49,88,77,94,175,43,68,42,31,31
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau De Lunette,0301::SB9,,1986,1122,9,3,0,0,0,1030,104,0,0,0,0,0,1134,70,150,161,150,251,73,113,71,41,42
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau De Polbeek,0301::SB10,,1998,1323,9,6,0,0,0,1241,101,4,0,4,0,0,1342,148,205,132,192,211,66,110,142,71,46
,Zutphen,GR2018_Zutphen,Gemeenteraad Zutphen 2018,0301,Zutphen,2018-03-21,Stembureau St.Elisabeth,0301::SB11,7202 AR,1147,577,5,0,0,1,0,545,38,0,0,1,0,0,583,44,73,62,70,127,33,89,31,26,22
