contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Westland Verstandig,LPF Westland,GemeenteBelang Westland (GBW),VVD,ChristenUnie-SGP,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Gemeentehuis Verdilaan 1,1783::SB1,2671 VW,1376,1061,5,4,0,0,0,944,126,0,0,0,0,0,1070,227,217,197,137,98,30,47,53,55
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Gemeentehuis Verdilaan 2,1783::SB2,2671 VW,1376,755,0,3,0,0,0,683,75,0,0,0,0,0,758,180,156,146,96,62,21,37,34,23
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Bibliotheek,1783::SB3,2671 GK,1376,733,1,2,0,0,0,663,73,0,0,0,0,0,736,230,161,106,84,59,23,33,20,17
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Montessorischool,1783::SB4,2671 TB,1376,423,2,0,0,0,0,383,42,0,0,0,0,0,425,85,87,77,68,48,10,18,20,10
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk ISW Hoogeland,1783::SB5,2672 LD,1376,335,0,0,1,0,0,293,41,0,1,0,0,0,334,96,34,70,57,28,6,25,10,9
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Gemeentekantoor Ln vd Glazen Stad,1783::SB6,2672 TA,1376,605,0,8,0,0,0,542,70,0,1,0,1,0,612,124,94,159,74,63,22,23,24,22
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Careyn Rozenhof,1783::SB7,2671 KH,1376,976,2,1,0,0,0,888,91,0,0,0,0,0,979,228,233,183,107,60,62,35,34,34
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB8,2671 ZZ,1376,1063,4,2,0,0,0,957,111,0,1,0,1,0,1068,243,186,248,132,100,28,57,40,29
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk De Binnenhof,1783::SB9,2671 EG,1376,939,5,6,0,1,0,858,93,0,0,1,0,0,951,203,194,217,120,78,28,30,44,25
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Openbare Daltonschool,1783::SB10,2672 BB,1376,741,1,0,0,1,0,677,64,0,1,0,0,0,741,146,118,146,138,67,29,46,27,24
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Brandweerkazerne,1783::SB11,2671 JP,1376,800,4,3,0,0,0,725,82,0,0,0,0,0,807,152,169,208,104,50,20,34,39,24
,Westland,GR2018_Westland,Gemeenteraad Westland 2018,1783,Westland,2018-03-21,Stembureau Naaldwijk Careyn zorgcentrum Woerdblok,1783::SB12,2673 CX,1376,1237,3,2,0,0,0,1109,134,1,0,1,0,0,1243,327,146,218,211,192,34,68,29,12
