contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,BRUG-M,FOCUS,Lokaal DNA,KIJK!!!/P.v.d.A./GROENLINKS/D66,CDA,Het Origineel
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Bestuurscentrum (KCC),0938::SB1,,1493,1031,17,5,0,0,0,919,134,0,0,0,0,0,1053,213,92,154,239,174,159
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Zorgcentrum Beukeloord,0938::SB2,,1216,633,2,12,0,0,0,564,83,0,0,0,0,0,647,165,62,107,105,84,110
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Gymzaal Meerssen-West,0938::SB3,,1027,606,8,8,0,0,0,559,63,0,0,0,0,0,622,118,71,175,75,52,115
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Ontmoetingscentrum de Ketel,0938::SB4,,1094,609,8,3,0,0,0,555,64,0,1,0,1,0,619,140,47,175,75,44,128
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Gemeenschapshuis de Koel,0938::SB6,,1394,853,7,5,0,0,0,761,104,0,0,0,0,0,865,77,71,492,71,49,93
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Scoutinggebouw Bunde,0938::SB12,,1059,611,5,7,0,0,0,541,81,0,1,0,1,0,622,137,35,71,163,122,83
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Basisschool Franciscus,0938::SB13,,1222,841,5,4,0,0,0,771,79,0,0,0,0,0,850,198,91,138,149,132,133
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Zalencentrum De Auw Kerk Limited,0938::SB14,,1197,775,12,14,0,0,0,694,107,0,0,0,0,0,801,114,63,197,180,118,103
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Woonbegeleidingscentrum Aan de Pas,0938::SB15,,1223,451,4,12,0,0,0,411,56,0,0,0,0,0,467,67,53,81,118,68,64
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Zaal 't Wapen van Geulle,0938::SB16,,1282,755,7,3,0,0,0,690,75,0,0,0,0,0,765,107,192,52,91,271,42
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Zorgcentrum Ave Maria,0938::SB17,,1254,722,3,4,0,0,0,643,86,0,0,0,0,0,729,136,122,48,103,268,45
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Gemeenschapshuis D'n Huppel,0938::SB21,,1208,796,7,3,0,0,0,696,110,0,0,0,0,0,806,234,212,63,105,141,41
,Meerssen,GR2018_Meerssen,Gemeenteraad Meerssen 2018,0938,Meerssen,2018-03-21,Stembureau Basisschool de Triangel,0938::SB22,,1103,662,10,1,0,0,0,601,72,0,0,0,0,0,673,206,194,68,70,72,52
