contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Belang Montferland,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Lijst Groot Montferland
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Albertusgebouw,1955::SB1,6942 BE,1609,906,1,5,0,0,0,832,81,0,0,1,0,0,913,216,179,127,151,59,174
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau De Ziep,1955::SB2,6941 BH,1600,823,3,1,0,0,0,758,70,1,0,1,0,0,828,254,158,133,128,62,88
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Albert Schweitzerschool,1955::SB3,6942 VA,1861,1081,7,3,0,0,0,1000,91,0,0,0,0,0,1091,266,226,157,215,78,139
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Cafe-restaurant Uniek,1955::SB4,6942 EA,2350,1432,9,0,0,0,0,1324,119,0,0,2,0,0,1443,330,261,217,348,96,180
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Gemeentehuis,1955::SB5,6942 GK,1978,633,4,3,0,0,0,579,61,0,0,0,0,0,640,194,100,108,108,37,86
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Verenigingsgebouw de Zomp,1955::SB6,6941 DM,1397,960,1,4,0,0,0,878,89,0,0,2,0,0,967,510,234,56,98,28,34
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Verenigingsgebouw de Meikever,1955::SB7,6942 HD,1499,806,2,1,0,0,0,718,91,0,0,0,0,0,809,373,102,72,107,21,131
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Gouden Handen,1955::SB8,7041 AV,2343,1224,3,7,0,1,0,1096,137,0,1,0,0,0,1233,131,498,95,65,153,282
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau het Willem van den Berghcentrum,1955::SB9,7041 CW,1685,761,6,0,1,1,0,701,68,0,0,2,0,0,769,116,274,77,38,113,143
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Pastoor Galamaschool,1955::SB10,7041 GL,1663,588,4,0,0,0,0,555,37,0,0,0,0,0,592,96,242,58,36,52,104
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Dorpshuis Lengel,1955::SB11,7044 AP,1402,632,1,3,0,0,0,574,62,0,0,0,0,0,636,117,189,67,55,80,124
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Dorpshuis Zeddam,1955::SB12,7038 BX,992,866,2,3,0,0,0,824,47,0,0,0,0,0,871,327,124,119,130,93,73
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Kantine voetbalvereniging Stokkum,1955::SB13,7039 CM,971,624,2,0,0,0,0,561,65,0,0,0,0,0,626,218,127,85,29,116,49
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Dorpshuis De Braempt,1955::SB14,7047 AP,1033,613,1,2,0,0,0,558,58,0,0,0,0,0,616,309,56,126,51,36,35
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau De Averhof,1955::SB15,7037 BJ,1416,774,2,3,0,0,0,716,63,0,0,0,0,0,779,324,127,52,74,71,126
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Partycentrum  De Dèèl,1955::SB16,7037 DH,851,496,1,4,0,0,0,456,45,0,0,0,0,0,501,185,73,27,63,83,65
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau zaal van 't Kelrehuus,1955::SB17,7035 AW,1237,764,0,3,0,0,0,694,73,0,0,0,0,0,767,358,61,244,37,39,25
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau clubgebouw voetbalvereniging Azewijn,1955::SB18,7045 AE,575,408,3,0,0,0,0,411,0,0,0,0,0,0,411,176,21,22,18,15,156
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau hal Waverlo/Meulenvelden,1955::SB19,,1461,817,10,2,0,0,0,773,55,0,0,0,0,0,828,241,156,164,104,58,94
,Montferland,GR2018_Montferland,Gemeenteraad Montferland 2018,1955,Montferland,2018-03-21,Stembureau Roncallischool,1955::SB20,7038 AL,1213,426,2,2,0,0,0,383,47,0,0,0,0,0,430,145,73,36,67,56,49
