contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Oosterhout,VVD,CDA,Gezond Burger Verstand,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),Groen Brabant,Oosterhout Samen,Lokaal Sociaal
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Stadhuis,0826::SB1,4902 ZP,2140,1095,7,11,0,0,0,995,117,0,1,0,0,0,1112,319,158,98,95,83,173,44,73,16,36
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Delta-Onderwijs,0826::SB2,4902 AB,2086,1041,8,4,0,0,0,951,102,0,0,0,0,0,1053,218,270,149,78,91,141,37,40,7,10
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau De Doelen,0826::SB3,4901 JA,1764,785,11,4,0,0,0,733,67,0,0,0,0,0,800,205,103,109,71,55,127,40,47,10,18
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Theater de Bussel,0826::SB4,4901 EJ,1982,947,8,2,0,0,0,864,93,0,0,0,0,0,957,278,141,108,75,73,144,41,53,13,21
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Praktijkschool De Zwaaikom,0826::SB5,4902 NA,1873,938,11,4,0,0,0,869,84,0,0,0,0,0,953,175,210,96,130,72,142,28,47,12,26
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau KBS ""Paulo Freire""",0826::SB7,4901 AW,2112,932,10,8,0,0,0,851,102,3,0,3,0,0,953,297,110,79,100,58,149,40,49,29,21
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Oosterheem,0826::SB8,4901 MN,1906,916,11,2,0,0,0,836,93,0,0,0,0,0,929,255,154,104,105,68,143,30,37,6,14
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Speelgoed-& Carnavalsmuseum ""op Stelten""",0826::SB9,4901 HT,1294,744,8,5,0,0,0,669,88,0,0,0,0,0,757,156,127,102,84,61,129,23,36,9,17
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Activiteitencentrum ""De Bunthoef""",0826::SB10,4904 CA,2127,975,8,13,0,0,0,896,100,0,0,0,0,0,996,309,86,78,92,48,168,43,55,31,65
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Kindcentrum ""De Ontdekking""",0826::SB11,4904 KJ,2081,726,2,6,0,0,0,659,76,0,0,1,0,0,735,252,53,60,76,19,130,44,36,27,29
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau Stichting BOCK,0826::SB12,4904 AR,1525,518,7,2,0,0,0,464,63,0,0,0,0,0,527,118,102,57,39,41,90,24,20,9,18
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau KBS ""De Beiaard""",0826::SB13,4904 PW,1258,930,6,3,0,0,0,845,95,0,0,1,0,0,940,166,206,157,66,89,138,50,34,4,20
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,Stembureau De Klip,0826::SB14,4849 BG,2545,1316,7,2,0,1,0,1204,122,0,0,1,0,0,1326,723,127,92,75,117,112,32,27,0,11
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Gemeenschapshuis ""Oostquartier""",0826::SB15,4904 AL,999,602,4,2,0,0,0,544,64,0,0,0,0,0,608,75,66,234,103,23,50,18,23,1,9
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Dorpshuis ""Den Brink""",0826::SB16,4911 AW,1706,834,5,1,0,0,0,734,107,0,0,1,0,0,841,83,126,92,387,37,54,24,16,14,1
,Oosterhout,GR2018_Oosterhout,Gemeenteraad Oosterhout 2018,0826,Oosterhout,2018-03-21,"Stembureau Nevenvestiging OBS ""Rubenshof""",0826::SB17,4907 AB,1522,998,5,4,0,0,0,911,96,0,0,0,0,0,1007,211,236,95,59,115,170,39,40,9,24
