contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Pro Hengelo,SP (Socialistische Partij),CDA,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burger Belangen,GROENLINKS,ChristenUnie,PVV (Partij voor de Vrijheid),LokaalHengelo,DFH
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool Willemschool,0164::SB1,7551 BT,2041,1184,6,3,0,0,0,1079,114,0,0,0,0,0,1193,166,194,66,224,107,58,78,96,19,40,116,20
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau TMZ Zorgcomplex Het Borsthuis,0164::SB2,7555 SH,1337,752,6,3,0,0,0,686,75,0,0,0,0,0,761,119,118,62,114,67,64,64,37,24,30,48,5
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Woonzorgcentrum Het Woolde,0164::SB3,7555 DR,1994,1211,5,4,0,0,0,1111,109,0,0,0,0,0,1220,181,179,109,171,123,84,96,62,31,61,98,16
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Buurthuis Weidedorp - Woolderes,0164::SB4,7556 TM,1900,1030,0,2,0,0,0,924,108,0,0,0,0,0,1032,140,183,69,154,87,68,84,74,23,47,79,22
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Basisschool Kuyperschool,0164::SB5,7556 ET,1999,1086,2,0,0,0,0,993,95,0,0,0,0,0,1088,185,168,81,139,88,91,76,92,32,53,65,16
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Wijkcentrum De Hengelose Es,0164::SB6,7556 LN,2019,1345,3,7,0,12,0,1227,116,0,12,0,0,0,1343,178,204,104,153,129,92,146,51,53,83,132,20
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Ontmoetingsruimte Thiemsbrug,0164::SB8,7556 CH,1931,1174,7,2,0,0,0,1083,100,0,0,0,0,0,1183,186,174,130,199,86,55,91,59,34,61,76,23
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Carintreggeland Huis Bellinckborg,0164::SB9,7556 HV,1763,871,4,2,0,5,0,795,87,0,0,5,0,0,882,142,139,68,140,57,50,70,29,24,50,85,17
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Carintreggeland Huis Backenhagen,0164::SB10,7557 KE,1937,909,4,4,0,1,0,845,73,0,0,1,0,0,918,132,115,139,135,55,42,61,34,23,57,96,20
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau Wijkcentrum De Sterrentuin,0164::SB11,7557 XX,2032,861,2,8,0,0,0,805,66,0,0,0,0,0,871,110,135,89,74,84,52,108,35,27,45,90,12
,Hengelo,GR2018_Hengelo,Gemeenteraad Hengelo 2018,0164,Hengelo,2018-03-21,Stembureau VSO 't Korhoen,0164::SB13,7557 PC,2041,1268,6,0,0,4,0,1159,119,0,0,4,0,0,1278,198,147,110,225,129,60,80,78,37,60,126,18
