contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,GROENLINKS,Lokaal Hellendoorn
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Huis voor Cultuur & Bestuur,0163::SB1,7442 MA,1202,1147,3,4,0,0,0,1068,86,0,0,0,0,0,1154,311,109,82,91,91,159,304
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Gebouw OZO,0163::SB2,7441 DW,1613,935,0,1,0,0,0,826,110,0,0,0,0,0,936,269,82,36,74,116,106,252
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Prinses Marijkeschool,0163::SB3,7441 BH,1510,1075,2,3,0,1,0,982,99,0,0,1,0,0,1081,301,111,47,106,193,132,185
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Wijkgebouw de Brake,0163::SB4,7442 AX,1372,710,1,1,0,0,0,669,43,0,0,0,0,0,712,175,76,38,42,65,78,236
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Wijkgebouw Blokkendoos,0163::SB5,7442 TH,1262,671,4,1,0,0,0,635,41,0,0,0,0,0,676,138,70,34,66,62,79,222
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Wijkgebouw 't Diekhuus,0163::SB6,7442 ZL,1304,678,0,1,0,0,0,641,38,0,0,0,0,0,679,159,60,45,69,67,74,204
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Wijkcentrum Groot Lochter,0163::SB7,7442 JH,1630,975,0,2,0,1,0,905,71,0,1,0,0,0,976,202,88,61,85,74,141,324
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Basisschool de Meander,0163::SB8,7442 BM,1166,681,0,0,0,0,0,638,43,0,0,0,0,0,681,127,71,31,65,89,72,226
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Scholengemeenschap Reggesteyn,0163::SB9,7443 XG,1541,985,0,0,0,0,0,905,80,0,0,0,0,0,985,233,69,35,94,167,135,252
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Woonzorgcentrum De Blenke,0163::SB10,7447 AP,1149,688,0,1,0,0,0,631,58,0,0,0,0,0,689,136,63,31,49,55,100,254
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Leerkamer Protestantse gemeente,0163::SB11,7447 HM,1308,989,1,3,0,0,0,923,70,0,0,0,0,0,993,224,50,26,106,95,97,391
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Restaurant en zalencentrum in de Tonne,0163::SB12,7447 CT,1303,950,4,0,0,0,0,892,62,0,0,0,0,0,954,177,61,32,111,100,98,371
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Basisschool de Schaapskooi,0163::SB13,7443 HC,1275,837,2,4,0,0,0,759,84,0,0,0,0,0,843,149,119,39,89,90,114,237
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Dorpshuis Sion,0163::SB14,7443 RB,1625,962,1,2,0,0,0,868,97,0,0,0,0,0,965,212,85,35,96,150,85,299
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Daltonschool Reggewinde,0163::SB15,7443 LA,1375,703,2,1,0,1,0,660,47,0,0,1,0,0,707,129,79,33,90,94,86,192
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Dorpshuis Kadiek,0163::SB16,7688 PW,1073,820,2,1,0,0,0,767,56,0,0,0,0,0,823,439,177,13,8,73,13,97
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Kulturhus 't Trefpunt,0163::SB17,7687 AR,884,519,2,2,0,0,0,491,32,0,0,0,0,0,523,247,82,27,8,29,25,101
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Sporthal Haarle,0163::SB18,7448 RB,1671,1130,3,1,0,0,0,1030,104,0,0,0,0,0,1134,424,10,12,17,56,65,546
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Buurthuis de Leemkamp,0163::SB19,7447 SP,567,406,1,0,0,0,0,369,38,0,0,0,0,0,407,164,49,6,3,29,7,148
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Jan Barbierschool,0163::SB20,7447 RH,694,334,0,0,0,0,0,288,46,0,0,0,0,0,334,71,39,5,13,62,16,128
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Gebouw Bunga Tandjung,0163::SB21,7442 LV,1452,657,2,4,0,0,0,616,47,0,0,0,0,0,663,207,73,24,53,63,69,168
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Kulturhus Kruidenwijk,0163::SB22,7443 HC,1268,907,0,4,0,0,0,851,60,0,0,0,0,0,911,161,98,62,113,95,111,267
,Hellendoorn,GR2018_Hellendoorn,Gemeenteraad Hellendoorn 2018,0163,Hellendoorn,2018-03-21,Stembureau Mobiel Stembureau,0163::SB23,,0,145,0,1,0,0,0,143,3,0,0,0,0,0,146,48,14,9,11,10,20,33
