contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Transparante partij voor Algemeen Belang(T@B),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,Partij van de Arbeid (P.v.d.A.),CDA,JEZUS LEEFT
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,Stembureau Trouwzaal  Gemeentehuis,0523::SB1,3371 AS,1234,917,10,2,0,0,0,803,125,0,1,0,0,0,928,249,249,212,112,92,3
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau De Ducdalf, Scheldestraat 1",0523::SB2,3371 SV,1327,895,5,3,0,0,0,806,97,0,0,0,0,0,903,267,223,167,129,108,1
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau Kerkgebouw Geref. Gem, Buitendams",0523::SB3,,1244,855,2,0,0,0,0,747,110,0,0,0,0,0,857,192,343,217,46,54,3
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,Stembureau School De Wonderwijzer,0523::SB4,3371 JG,1278,773,4,3,0,0,0,690,90,0,0,0,0,0,780,246,153,217,69,88,0
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,Stembureau School De Driemaster Jacobsweer,0523::SB5,3371 PN,1253,555,1,2,0,0,0,508,50,0,0,0,0,0,558,177,103,104,116,53,2
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau de Gereformeerde Kerk, Stationsstr",0523::SB6,3371 PN,1290,1155,4,2,0,0,0,991,170,0,0,0,0,0,1161,199,331,388,97,129,11
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau Ichthusschool, ing. Florenweer",0523::SB7,3371 RC,1256,798,2,0,0,0,0,698,102,0,0,0,0,0,800,145,206,249,85,113,0
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau Verz.tehuis Pedaja, ing. Wieling",0523::SB8,3371 PR,1192,662,1,2,0,0,0,575,90,0,0,0,0,0,665,178,220,140,57,62,5
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau Kerk Hers.Herv.Gem., Nassaustraat",0523::SB9,3372 EE,1173,652,4,0,0,3,0,583,70,0,3,0,0,0,653,190,186,95,103,72,6
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,Stembureau De Lange Wei Atrium,0523::SB10,3372 XV,1109,810,3,3,0,0,0,723,93,0,0,0,0,0,816,310,144,133,126,92,5
,Hardinxveld-Giessendam,GR2018_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2018,0523,Hardinxveld-Giessendam,2018-03-21,"Stembureau Geref. Kerk, ing. W. Droststraat",0523::SB11,3372 XH,1284,839,4,2,0,0,0,731,114,0,0,0,0,0,845,379,155,126,75,96,8
