contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Borger-Odoorn,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Leefbaar Borger-Odoorn
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Gemeentehuis Exloo,1681::SB1,7875 AD,1431,985,4,3,0,0,0,913,79,0,0,0,0,0,992,328,121,201,76,74,26,79,80
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau De Paasbergen Odoorn,1681::SB2,7873 BE,1558,1023,5,7,0,0,0,943,92,0,0,0,0,0,1035,417,106,200,73,91,20,56,60
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Ons Dorpshuis Valthe,1681::SB3,7872 PL,1030,672,1,4,0,0,0,614,63,0,0,0,0,0,677,223,111,110,35,41,36,57,59
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,"Stembureau Dorpshuis ""Oes Hokkie""",1681::SB4,7871 PA,611,307,1,2,0,0,0,285,25,0,0,0,0,0,310,81,48,28,12,10,10,37,81
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Dorpshuis Odoornerveen,1681::SB5,7874 TD,473,256,2,0,0,0,0,236,22,0,0,0,0,0,258,94,24,57,34,9,2,26,10
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Buurthuis de Badde,1681::SB6,9573 PC,347,172,1,3,0,0,0,155,21,0,0,0,0,0,176,57,12,18,33,5,17,4,26
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Spa Horeca-Centrum 2e Exloërmond,1681::SB7,9571 BM,890,347,4,2,0,0,0,353,0,0,0,0,0,0,353,138,34,41,34,3,42,10,45
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau Hunsow-hal 2e Exloërmond,1681::SB8,9571 BB,1036,566,7,7,0,0,0,535,45,0,0,0,0,0,580,242,59,37,59,11,73,15,70
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau De Wenakker Valthermond,1681::SB9,7876 HS,1405,427,2,0,0,0,0,397,32,0,0,0,0,0,429,183,35,38,57,18,32,15,49
,Borger-Odoorn,GR2018_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2018,1681,Borger-Odoorn,2018-03-21,Stembureau,1681::SB10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
