contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Gemeentebelang,VVD,Dorpsbelangen en Toerisme,Partij van de Arbeid (P.v.d.A.),Politieke Vereniging Lijst Babijn,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Rode Kruisgebouw Oostburg,1714::SB1,,1863,815,2,1,0,0,0,709,109,0,0,0,0,0,818,142,137,99,81,42,158,86,31,39
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Kerkcentrum Oostburg,1714::SB2,,2034,1083,2,7,0,0,0,949,143,0,0,0,0,0,1092,204,161,141,98,120,181,75,44,59
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Multifunctioneel gebouw Zuidzande,1714::SB3,,472,280,2,1,0,0,0,255,28,0,0,0,0,0,283,59,41,60,11,17,33,36,7,16
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Verenigingsgebouw Cadzand,1714::SB4,,642,374,2,3,0,0,0,330,49,0,0,0,0,0,379,38,53,87,48,41,54,11,21,21
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Nieuwvliet,1714::SB5,,354,230,1,3,0,0,0,202,32,0,0,0,0,0,234,34,31,79,19,17,22,7,13,8
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Mfc 't Torentje Groede,1714::SB6,,855,478,3,2,0,0,0,434,49,0,0,0,0,0,483,34,36,99,63,92,63,34,21,36
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Mfc De Korre Breskens,1714::SB7,,2114,987,1,2,0,0,0,882,108,0,0,0,0,0,990,93,80,121,206,86,279,46,29,47
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Hooge Platen Breskens,1714::SB8,,1785,1001,2,13,0,0,0,890,126,0,0,0,0,0,1016,126,54,129,189,88,272,61,18,64
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Hoofdplaat,1714::SB9,,664,355,0,1,0,0,0,319,37,0,0,0,0,0,356,40,32,116,72,20,27,18,8,22
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Emmaus IJzendijke,1714::SB10,,2025,1157,3,2,0,0,0,1001,161,0,0,0,0,0,1162,236,143,193,98,143,92,79,123,50
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Protestantse Kerk Schoondijke,1714::SB11,,1195,608,1,2,0,0,0,558,53,0,0,0,0,0,611,107,83,63,54,93,82,65,28,33
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Waterlandkerkje,1714::SB12,,460,305,0,0,0,0,0,263,41,0,1,0,1,0,304,52,53,73,9,26,36,13,17,26
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Aardenburg,1714::SB13,,1957,956,2,4,0,0,0,822,140,0,0,0,0,0,962,168,198,130,78,114,130,66,21,51
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Sint Kruis,1714::SB14,,270,196,0,2,0,0,0,163,35,0,0,0,0,0,198,73,28,19,47,3,14,5,4,3
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Eede,1714::SB15,,731,386,3,3,0,0,0,329,63,0,0,0,0,0,392,191,55,40,52,8,13,12,6,9
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Mfc De Keure Sluis,1714::SB16,,1954,1000,5,4,0,1,0,870,140,0,0,1,0,0,1010,201,273,240,25,59,80,58,31,33
,Sluis,GR2018_Sluis,Gemeenteraad Sluis 2018,1714,Sluis,2018-03-21,Stembureau Dorpshuis Retranchement,1714::SB17,,277,147,0,2,0,0,0,129,20,0,0,0,0,0,149,24,27,48,10,3,11,8,4,12
