contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,APB,VVD,Democraten 66 (D66),Ons Etten-Leur,Partij van de Arbeid (P.v.d.A.),Leefbaar Etten-Leur,GROENLINKS
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Van Gogh Kerk,0777::SB1,,1922,1477,6,2,0,1,0,1376,138,0,0,29,0,0,1514,314,342,118,116,261,97,95,134
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Nieuwe Nobelaer (ingang noord),0777::SB2,,1936,975,3,6,0,0,0,890,94,0,0,0,0,0,984,181,226,92,69,175,56,95,81
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,"Stembureau Loc. Anbarg, Avoord Zorg en Wonen",0777::SB3,,2043,872,4,2,0,0,0,799,79,0,0,0,0,0,878,163,186,95,49,193,42,73,71
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Smeltkroes de Keen,0777::SB4,,2154,915,0,5,0,0,0,788,132,0,0,0,0,0,920,159,209,133,92,176,38,48,60
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Handboogver. Nimrod (De Lage Banken),0777::SB5,,1749,934,2,0,0,0,0,842,94,0,0,0,0,0,936,180,200,103,57,208,51,57,78
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Wijkgebouw Ut Praotuis,0777::SB6,,1760,879,0,1,0,0,0,794,86,0,0,0,0,0,880,218,209,97,75,103,43,69,65
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Scholengemeenschap KSE,0777::SB7,,1751,1136,10,1,0,0,0,1029,118,0,0,0,0,0,1147,253,246,121,104,160,63,80,109
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,"Stembureau Loc. Kloostergaard, Avoord Zorg en Wonen",0777::SB8,,1771,795,3,3,0,0,0,710,95,4,0,4,0,0,805,283,141,77,36,112,34,54,58
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Stichting Instuif het Zorgenkind,0777::SB9,,1706,545,0,1,0,0,0,502,44,0,0,0,0,0,546,129,114,46,36,108,30,40,42
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Tafeltennishal Tanaka,0777::SB10,,1912,871,4,0,0,0,0,779,96,0,0,0,0,0,875,141,179,103,60,163,66,74,85
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Kantine Gemeentewerf,0777::SB11,,1525,651,2,0,0,0,0,578,75,0,0,0,0,0,653,137,124,69,66,121,33,52,49
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Wijkgebouw De Gong,0777::SB12,,2129,1292,9,6,0,0,0,1188,119,0,0,0,0,0,1307,191,283,126,119,234,80,105,154
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Brede school De Vleer,0777::SB13,,1948,1074,6,1,0,1,0,964,116,0,1,0,0,0,1080,141,282,116,87,204,51,82,111
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Trouwkerkje,0777::SB14,,1853,1333,8,4,0,0,0,1214,130,0,1,0,1,0,1344,229,265,158,105,268,86,106,116
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Het Turfschip,0777::SB15,,2087,1318,5,3,0,0,0,1186,140,0,0,0,0,0,1326,269,265,196,111,233,62,75,107
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Woonstichting Etten-Leur,0777::SB16,,2083,447,3,1,0,0,0,391,60,0,0,0,0,0,451,75,123,53,43,65,28,26,34
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau NS Station,0777::SB17,,2029,731,5,0,0,0,0,681,55,0,0,0,0,0,736,117,162,94,63,146,42,43,64
,Etten-Leur,GR2018_EttenLeur,Gemeenteraad Etten-Leur 2018,0777,Etten-Leur,2018-03-21,Stembureau Schoenmakershoek,0777::SB18,,2035,410,0,1,0,0,0,373,38,0,0,0,0,0,411,61,87,65,47,63,15,35,37
