contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Samen Sterk Maasdriel,Partij van de Arbeid/GROENLINKS,VVD,Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66)
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_1 Gemeentehuis Kerkdriel,0263::SB1,5331 CB,1226,685,2,0,0,0,0,582,105,0,0,0,0,0,687,111,412,37,97,5,23
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_2 Gemeentehuis Kerkdriel*,0263::SB2,5331 CB,1237,845,3,3,0,0,0,720,131,0,0,0,0,0,851,114,484,67,160,4,16
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_3 De Leijenstein,0263::SB3,5331 TA,787,734,2,3,0,0,0,639,100,0,0,0,0,0,739,148,430,46,77,5,28
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_4 MFC de Kreek,0263::SB4,5331 KC,1385,700,3,5,0,0,0,599,109,0,0,0,0,0,708,113,374,40,144,6,23
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_5 MFC de Kreek*,0263::SB5,5331 KC,1313,281,6,0,0,0,0,236,51,0,0,0,0,0,287,45,145,12,72,0,7
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_6 De Boxhof,0263::SB6,5334 JR,669,688,2,3,0,0,0,565,128,0,0,0,0,0,693,205,279,32,154,12,6
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_7 Dorpshuis Gelre's End,0263::SB7,5321 GG,940,514,5,1,2,0,0,447,71,0,2,0,0,0,518,164,118,67,59,61,45
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_8 Rehoboth,0263::SB8,5321 TM,946,705,0,3,0,0,0,622,86,0,0,0,0,0,708,214,182,79,64,91,75
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_9 Rehoboth*,0263::SB9,5321 TM,1013,425,0,2,0,0,0,385,42,0,0,0,0,0,427,134,102,42,36,59,52
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_10 De Lindeboom,0263::SB10,5324 EP,692,482,1,2,0,0,0,439,46,0,0,0,0,0,485,234,65,68,74,10,31
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_11 De Weesboom*,0263::SB11,5324 AT,1052,545,0,1,0,0,0,479,67,0,0,0,0,0,546,273,97,44,98,6,27
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_12 De Weesboom,0263::SB12,5324 AT,1054,455,0,0,0,0,0,386,68,0,1,0,0,1,454,221,79,35,81,7,32
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_13 Dorpshuis Ons Huis,0263::SB13,5325 XE,796,532,0,3,0,0,0,474,62,1,0,1,0,0,536,233,117,59,44,53,26
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_14 MFC Heerewaarden,0263::SB14,6624 AN,1070,586,4,0,0,0,0,522,68,0,0,0,0,0,590,45,330,128,52,5,26
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_15 De Parel,0263::SB15,5328 AA,1099,607,1,1,0,0,0,530,79,0,0,0,0,0,609,254,88,152,56,4,53
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_16 De Vaste Burcht,0263::SB16,5328 ES,949,587,7,0,0,0,0,526,69,1,0,1,0,0,595,190,103,158,77,7,52
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_17 Dorpshuis de Kil,0263::SB17,5327 AR,602,485,5,1,0,0,0,430,61,0,0,0,0,0,491,223,56,117,51,2,36
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_18 De Drie Linden,0263::SB18,5335 LK,548,447,2,2,0,0,0,381,70,0,0,0,0,0,451,214,189,28,11,3,2
,Maasdriel,GR2018_Maasdriel,Gemeenteraad Maasdriel 2018,0263,Maasdriel,2018-03-21,Stembureau Stembureau_19 Dorpshuis Gelre's End*,0263::SB19,5321 GG,903,436,0,1,2,0,0,393,46,0,0,2,0,0,439,123,130,67,41,30,45
