contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Gemeentebelang,ChristenUnie,CDA,VVD,PvdA / GROENLINKS,Algemeen Belang Nunspeet (ABN),DePartij
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,Stembureau Vrije Evangelische Gemeente,0302::SB1,,1803,1404,4,2,0,0,0,1224,186,0,0,0,0,0,1410,210,394,257,230,139,120,31,23
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Zorgcentrum ""De Bunterhoek""",0302::SB2,,1629,1084,1,5,0,0,0,957,133,0,0,0,0,0,1090,299,288,227,125,61,41,33,10
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,Stembureau Ds. A. van Stuijvenbergschool,0302::SB3,,1575,1241,4,3,0,0,0,1118,130,0,0,0,0,0,1248,385,319,238,129,57,37,62,14
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau De Chr. basisschool ""Da Costa""",0302::SB4,,1455,1107,2,0,0,0,0,1035,74,0,0,0,0,0,1109,168,417,228,122,43,42,69,18
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau De Chr. basisschool ""De Bron""",0302::SB5,,1765,1304,1,0,0,0,0,1191,113,0,1,0,0,0,1304,213,423,360,166,49,32,39,22
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau De Chr. basisschool ""De Morgenster""",0302::SB6,,1447,941,2,1,0,0,0,944,0,0,0,0,0,0,944,192,291,230,80,45,54,39,10
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau De Chr. ZMLK-school ""De Wingerd""",0302::SB7,,1446,1103,5,3,0,0,0,1003,108,0,0,0,0,0,1111,233,326,224,141,53,71,44,11
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Montessorischool ""De Ontdekking""",0302::SB8,,1431,1008,2,2,0,0,0,908,104,0,0,0,0,0,1012,229,339,169,90,50,88,33,10
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau De Chr. basisschool ""Petra""",0302::SB9,,1430,995,3,1,0,0,0,900,101,0,0,2,0,0,1001,202,334,217,86,37,55,48,16
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,Stembureau De Herv. Boaz-Jachinschool,0302::SB10,,1693,1350,2,3,0,0,0,1159,196,0,0,0,0,0,1355,921,56,194,100,25,16,15,23
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Disloc. Chr. basisschool ""Da Costa"" Elspeet",0302::SB11,,1646,1278,2,0,0,0,0,1121,159,0,0,0,0,0,1280,829,69,183,144,19,17,11,6
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Dorpshuis ""De Wieken""",0302::SB12,,1579,1026,3,2,0,0,0,921,110,0,0,0,0,0,1031,245,251,248,85,77,37,59,24
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Dorpshuis ""Horsterhoek""",0302::SB13,,613,413,1,2,0,0,0,376,40,0,0,0,0,0,416,20,156,86,23,43,58,18,9
,Nunspeet,GR2018_Nunspeet,Gemeenteraad Nunspeet 2018,0302,Nunspeet,2018-03-21,"Stembureau Zorgcentrum ""Seewende""",0302::SB14,,1412,930,1,1,0,0,0,836,96,0,0,0,0,0,932,306,206,200,108,51,25,19,15
