contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Veldhoven Samen Anders (VSA),Gemeente Belangen Veldhoven (GBV),VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SENIOREN VELDHOVEN
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Gemeentehuis,0861::SB1,5501 KA,1969,1138,8,5,0,5,0,1049,107,0,0,5,0,0,1156,143,210,192,90,95,116,292
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Wijkgebouw D'n Uitwijk,0861::SB2,5501 HP,1679,885,3,3,0,0,0,794,97,0,0,0,0,0,891,91,180,152,73,121,124,144
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Wijkvoorziening De Ligt,0861::SB3,5503 CA,2021,1280,16,5,0,0,1,1190,110,0,0,0,0,0,1301,130,240,265,163,90,115,277
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Kantine Voetbalvereniging U.N.A.,0861::SB4,5502 ED,2119,856,3,6,0,0,0,788,77,0,0,0,0,0,865,107,175,184,90,80,57,163
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Ontmoetingscentrum Zeelst,0861::SB5,5502 NC,2046,1187,6,2,0,0,0,1070,126,1,0,1,0,0,1196,119,222,316,147,105,98,180
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Dorpscentrum d'Ouw School,0861::SB6,5507 LC,1792,1076,6,1,0,1,0,974,108,0,1,0,0,0,1082,182,195,329,128,78,59,105
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Clubgebouw Sentrum '70,0861::SB7,5503 VE,2482,788,6,5,0,0,0,751,48,0,0,0,0,0,799,108,176,149,59,55,59,182
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau RSZK Merefelt,0861::SB8,5504 GB,1755,881,14,0,0,1,0,826,70,0,0,1,0,0,896,105,194,163,98,55,69,197
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Gemeenschapshuis d'n Bond,0861::SB9,5504 BN,2090,1209,10,7,0,0,0,1097,129,0,0,0,0,0,1226,150,229,367,86,89,118,170
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Ontmoetingscentrum het Tweespan,0861::SB10,5505 AT,2583,1138,9,7,0,0,0,1066,88,0,0,0,0,0,1154,144,241,219,112,74,126,222
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Basisschool De Brembocht,0861::SB11,5506 CG,2181,1171,3,2,0,0,0,1089,87,0,0,0,0,0,1176,164,218,244,118,121,147,159
,Veldhoven,GR2018_Veldhoven,Gemeenteraad Veldhoven 2018,0861,Veldhoven,2018-03-21,Stembureau Basisschool De Berckacker,0861::SB12,5508 DJ,2206,1270,3,2,0,0,0,1173,102,0,0,0,0,0,1275,221,270,241,91,135,144,168
