contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LVR (Liberale Volkspartij Roermond),CDA,GROENLINKS,VVD,Demokraten Swalmen (DS),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Stadspartij Roermond,SP (Socialistische Partij),10,DENK,Partij voor Leefbaarheid en Democratie
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Stadhuis,0957::SB1,,1180,1037,6,8,0,0,0,960,77,0,14,0,14,0,1037,264,167,248,146,16,20,71,64,27,0,2,12
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Zorgcentrum 'RCG',0957::SB2,,1579,584,6,0,0,0,0,549,41,0,0,0,0,0,590,144,98,146,60,4,24,48,17,29,0,4,10
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Theaterhotel 'De Oranjerie',0957::SB3,,1499,995,3,3,0,0,0,942,59,0,0,0,0,0,1001,258,131,260,119,25,18,66,57,42,0,6,13
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'De Steenen Brug',0957::SB4,,1565,1042,6,0,0,0,0,950,104,6,0,6,0,0,1054,198,180,283,178,4,27,88,50,15,2,3,14
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Stichting 'Swalm en Roer',0957::SB5,,1600,1035,3,2,0,0,0,919,121,0,0,0,0,0,1040,245,220,208,161,10,13,90,50,24,0,2,12
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'Willem de Zwijger',0957::SB6,,1633,789,4,0,0,0,0,720,73,0,0,0,0,0,793,178,91,239,78,5,36,47,30,47,2,19,17
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Wijkhuis 'De Terp',0957::SB7,,1242,437,1,4,0,0,0,382,60,0,0,0,0,0,442,154,52,51,19,1,3,8,9,23,1,107,9
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Zalencentrum 'De Velderie',0957::SB8,,1487,743,0,1,0,0,0,640,104,0,0,0,0,0,744,347,61,93,25,7,9,24,18,38,8,98,15
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Zorgcentrum 'Roncalli',0957::SB9,,1356,608,5,6,0,0,0,576,43,0,0,0,0,0,619,168,127,126,27,10,25,34,24,33,3,20,11
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'De Kasteeltuin',0957::SB10,,1133,533,4,3,0,0,0,489,53,2,0,2,0,0,542,154,93,124,30,8,9,22,20,30,2,33,8
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Sporthal Donderberg,0957::SB11,,1230,667,0,5,0,0,0,540,134,2,0,2,0,0,674,275,46,45,20,3,11,25,6,26,53,143,14
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'Vincent van Gogh',0957::SB12,,1907,729,3,3,0,0,0,647,89,1,0,1,0,0,736,254,97,98,26,10,17,31,6,49,16,112,13
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Gemeenschapshuis 't Sjoolpaad',0957::SB13,,1332,848,1,2,0,0,0,779,72,0,0,0,0,0,851,222,126,199,46,7,31,88,31,31,0,2,65
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Lyceum Schöndeln,0957::SB14,,754,293,2,0,0,0,0,265,30,0,0,0,0,0,295,60,63,75,20,2,15,22,8,15,0,2,11
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Wijkaccommodatie 'Het Trefpunt',0957::SB15,,1365,551,2,2,0,0,0,498,57,0,0,0,0,0,555,246,54,78,23,3,20,9,25,23,3,36,31
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 't Mozaïek',0957::SB16,,1251,546,3,4,0,0,0,478,75,0,0,0,0,0,553,199,70,82,16,9,12,17,18,19,16,72,16
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Café-zaal 'De Ster',0957::SB17,,1315,983,5,1,0,0,0,894,95,0,0,0,0,0,989,253,232,190,77,11,24,59,43,51,2,23,18
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Dependance bs 'Vincent van Gogh',0957::SB18,,1576,566,7,2,0,1,0,534,42,0,0,1,0,0,576,172,81,132,37,6,20,27,29,39,0,7,16
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Wijkgebouw 'Tegelarijveld',0957::SB19,,1105,397,0,1,0,0,0,362,36,0,0,0,0,0,398,133,57,67,8,7,15,19,14,37,0,35,5
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau 't Brikkenhoes,0957::SB20,,1459,730,2,2,0,0,0,668,66,0,0,0,0,0,734,170,231,162,45,8,16,58,11,24,0,0,5
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'Leeve',0957::SB21,,904,585,7,11,0,0,0,521,82,0,0,0,0,0,603,195,122,132,39,4,11,33,20,22,0,0,7
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Gemeenschapshuis 'De Duup',0957::SB22,,809,418,0,2,0,0,0,367,54,1,0,1,0,0,421,189,72,64,22,10,10,18,4,12,0,3,14
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Wijkaccommodatie 'De Vlonder',0957::SB23,,1717,840,3,4,0,0,0,750,97,0,0,0,0,0,847,291,114,173,52,0,33,32,44,54,0,18,29
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Wijkaccommodatie 'Herteheym',0957::SB24,,1464,1076,8,2,0,0,0,992,95,1,0,1,0,0,1087,265,204,229,135,13,20,96,69,37,0,0,8
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Café-zaal 'De Schuur',0957::SB25,,1541,916,5,2,0,0,0,807,116,0,0,0,0,0,923,314,161,152,126,7,14,66,43,20,0,1,12
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'Hubertus',0957::SB26,,1327,795,1,0,0,0,0,717,79,0,0,0,0,0,796,209,152,166,99,13,9,68,18,25,0,18,18
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Zorgcentrum 'St. Jan Baptist',0957::SB27,,1281,574,5,1,0,0,0,516,64,0,0,0,0,0,580,71,44,54,23,330,17,8,8,18,0,0,1
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Kinderdagopvang 'Kiekeboe',0957::SB28,,1526,810,2,1,0,3,0,739,71,0,3,0,0,0,810,86,44,86,21,484,28,16,4,34,0,2,5
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Gemeenschapshuis 'De Robijn',0957::SB29,,1095,828,1,2,0,1,0,750,82,0,0,1,0,0,832,99,58,53,22,520,20,14,8,14,2,5,13
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Restaurant 'Maaszicht',0957::SB30,,255,179,0,0,0,0,0,157,22,0,0,0,0,0,179,40,29,18,8,72,4,3,1,2,1,0,1
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Gemeenschapshuis 'De Kamp',0957::SB31,,814,548,1,0,0,0,0,514,35,0,0,0,0,0,549,68,52,64,21,276,6,22,8,28,0,0,3
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Eetcafé 'De Mert',0957::SB32,,1323,674,2,2,0,0,0,616,63,1,0,1,0,0,679,67,55,67,11,421,12,9,6,23,0,1,2
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Eetcafé 'Aod Maerum',0957::SB33,,1378,582,6,0,0,0,0,538,50,0,0,0,0,0,588,155,139,133,49,7,8,25,39,19,0,3,5
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Zalencentrum 'De Donderie',0957::SB34,,807,547,5,1,0,0,0,497,57,1,0,1,0,0,554,180,53,119,45,4,17,26,29,23,1,39,11
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Basisschool 'Neel',0957::SB35,,685,486,2,0,0,0,0,445,43,0,0,0,0,0,488,83,118,115,68,8,15,56,7,8,0,5,3
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Ontmoetingscentrum 'Het Jeugdgebouw',0957::SB36,,546,287,0,0,0,0,0,263,24,0,0,0,0,0,287,74,42,73,37,3,3,15,17,15,0,0,8
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Sportcentrum Swalmen,0957::SB37,,783,386,0,0,0,0,0,340,46,0,0,0,0,0,386,66,25,34,14,220,5,8,3,7,0,0,4
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Stadskantoor,0957::SB38,,1024,388,1,1,0,0,0,357,33,0,0,0,0,0,390,115,66,79,37,9,9,33,10,17,0,8,5
,Roermond,GR2018_Roermond,Gemeenteraad Roermond 2018,0957,Roermond,2018-03-21,Stembureau Mobiel stembureau,0957::SB39,,0,334,1,0,0,0,0,304,31,0,0,0,0,0,335,74,64,76,32,3,12,29,12,23,0,6,3
