contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Ouderen Partij Zandvoort,VVD,Democraten 66 (D66),CDA,Gemeente Belangen Zandvoort (G.B.Z.),Partij van de Arbeid (P.v.d.A.),Sociaal Zandvoort,PVV (Partij voor de Vrijheid),GROENLINKS,QUEER,Amsterdam aan Zee
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Zandvoorts Museum,0473::SB1,,1335,926,2,12,0,0,0,934,8,0,0,2,0,0,942,185,151,136,111,59,84,32,80,76,5,7
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Strandhotel Centerparcs,0473::SB2,,1360,522,3,1,0,0,0,492,34,0,0,0,0,0,526,113,73,69,94,25,30,20,59,31,2,6
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Oranje Nassauschool,0473::SB3,,1446,911,4,3,0,0,0,825,95,0,0,2,0,0,920,140,210,160,134,50,66,17,73,53,4,4
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,"Stembureau Brede-School ""De Blauwe Tram"" (A)",0473::SB4,,1695,770,0,6,0,0,0,713,66,3,0,3,0,0,779,155,167,99,114,32,44,19,65,67,2,6
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Rode Kruisgebouw,0473::SB5,,1645,830,3,5,0,0,0,754,84,0,0,0,0,0,838,184,67,106,98,60,56,59,123,71,1,5
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,"Stembureau Brede-school ""De Blauwe Tram"" (B)",0473::SB6,,1161,590,5,3,0,0,0,549,48,0,1,0,0,0,597,129,120,84,76,15,32,23,57,47,2,5
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Stichting Pluspunt Zandvoort (A),0473::SB7,,1146,601,5,8,0,0,0,599,2,0,13,0,0,0,601,168,58,38,81,46,47,62,59,37,2,3
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Woonzorgcentrum Huis in de Duinen,0473::SB8,,983,464,0,1,0,0,0,420,45,0,0,0,0,0,465,101,80,64,63,28,31,22,35,39,1,0
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Nieuw-Unicum,0473::SB9,,180,111,0,0,0,0,0,111,0,0,0,0,0,0,111,17,10,19,13,15,9,6,6,15,0,1
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Woonzorgcentrum  A.G.Bodaan,0473::SB10,,810,547,2,0,0,0,0,497,52,0,0,0,0,0,549,48,252,91,54,20,35,8,16,23,0,0
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Stichting Pluspunt Zandvoort (B),0473::SB11,,1146,610,5,7,0,0,0,570,52,0,0,0,0,0,622,158,60,55,73,36,38,42,81,62,5,0
,Zandvoort,GR2018_Zandvoort,Gemeenteraad Zandvoort 2018,0473,Zandvoort,2018-03-21,Stembureau Station NS,0473::SB12,,1169,1028,11,2,0,3,0,936,108,0,0,3,0,0,1044,171,167,166,111,81,66,32,119,88,8,19
