contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),Lijst Smolders Tilburg ( LST ),VVD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Voor Tilburg,Verenigde Seniorenpartij Tilburg,OPA,50PLUS,Links Offensief,Burgerinitiatief Tilburg (BIT),LOKAAL TILBURG
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Paleis Raadhuis,0855::SB1,,2793,1134,3,1,0,0,0,1055,83,0,0,0,0,0,1138,248,85,213,165,85,41,192,33,5,7,22,6,3,29
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau De Harmonie,0855::SB2,,3413,1203,2,5,0,0,0,1126,87,0,0,3,0,0,1213,284,120,156,132,96,57,223,32,5,7,28,15,7,41
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum in de Boomtak,0855::SB3,,4688,2037,12,10,0,0,0,1884,175,0,0,0,0,0,2059,397,200,364,217,168,98,346,53,5,11,61,16,4,97
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Huize Mater Misericordiae,0855::SB5,,4360,1540,10,8,0,4,0,1456,106,0,0,4,0,0,1562,328,127,210,188,160,66,268,41,12,7,31,24,17,61
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum Koningshaven,0855::SB6,,5401,1675,5,3,0,3,0,1529,157,0,0,3,0,0,1686,280,204,414,157,79,57,256,37,18,10,56,28,5,74
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Regionaal Archief Tilburg,0855::SB7,,2458,1362,9,4,0,0,0,1247,128,0,0,0,0,0,1375,268,162,229,208,80,67,231,19,1,14,27,12,8,36
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau De Pelgrimhoeve,0855::SB8,,2606,1542,4,0,0,2,0,1398,150,0,0,2,0,0,1548,366,156,215,167,100,70,303,21,5,11,33,12,3,80
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Verzorgingshuis Koningsvoorde,0855::SB11,,4343,1678,9,5,0,0,0,1538,153,0,0,0,0,0,1691,250,187,435,115,95,146,179,52,31,13,65,37,6,67
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum De Nieuwe Stede,0855::SB12,,3466,1481,15,9,0,0,0,1437,68,0,0,0,0,0,1505,319,178,236,122,62,63,305,47,16,13,23,19,8,70
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Seniorencomplex President Mandelahof,0855::SB13,,2911,1010,6,4,0,0,0,950,70,0,0,0,0,0,1020,179,137,222,79,54,37,124,30,25,21,33,10,4,55
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Servicecentrum Het Laar,0855::SB14,,2565,924,9,5,0,0,0,834,103,0,1,0,0,0,937,132,89,200,103,97,36,116,23,20,8,37,11,5,47
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum Spijkerbeemden,0855::SB15,,3638,1012,6,8,0,0,0,947,77,0,2,0,0,0,1024,116,117,256,91,81,45,88,27,22,14,45,52,4,54
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool De Alm,0855::SB16,,2446,721,6,7,0,0,0,649,85,0,0,0,0,0,734,77,101,255,34,43,35,68,24,17,6,25,10,5,21
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Openbare Basisschool De Blaak,0855::SB18,,2071,1803,1,2,0,0,0,1598,208,0,0,0,0,0,1806,316,88,415,308,202,100,181,22,0,10,69,1,6,85
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Tennispaviljoen de Blaak,0855::SB19,,2810,1383,2,2,0,1,0,1219,171,2,0,3,0,0,1390,263,56,298,261,196,56,108,13,1,10,48,1,5,67
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Van Spaendonck Ondernemingshuis,0855::SB20,,812,327,1,1,0,0,0,304,25,0,0,0,0,0,329,86,25,40,56,22,18,51,5,10,1,4,3,1,5
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Woonzorgcentrum Zonnehof,0855::SB21,,2353,1222,3,8,0,0,0,1122,111,0,0,0,0,0,1233,203,93,215,166,193,64,153,15,10,7,48,7,3,45
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Verzorgingscentrum Den Herdgang,0855::SB22,,2365,1018,6,2,0,0,0,951,75,0,0,0,0,0,1026,147,115,251,70,56,50,167,38,10,9,54,9,4,38
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Woonzorgcentrum Joannes Zwijsen,0855::SB23,,2679,1351,6,6,0,2,0,1290,75,0,0,2,0,0,1365,307,135,220,131,93,51,262,40,7,12,31,15,7,40
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Woonzorgcentrum De Bijsterstede,0855::SB24,,2451,1245,7,3,0,0,0,1150,105,0,0,0,0,0,1255,227,164,232,98,75,59,249,38,6,7,27,11,3,49
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool den Bijstere,0855::SB25,,3016,1268,10,4,0,0,0,1228,56,0,0,2,0,0,1284,272,142,243,150,65,49,239,35,8,9,23,9,4,20
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Openbare Basisschool Yore,0855::SB26,,2139,822,7,4,0,0,0,767,66,0,0,0,0,0,833,133,90,179,88,44,49,132,26,3,9,20,6,6,37
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum de Baselaer,0855::SB28,,5187,1917,23,3,0,0,0,1758,185,0,0,0,0,0,1943,292,252,488,169,95,107,265,59,23,13,76,14,9,55
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Textielmuseum,0855::SB30,,5060,1671,7,5,0,1,0,1526,158,0,0,1,0,0,1684,293,200,328,126,88,92,348,49,10,14,56,13,14,40
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau De Poorten,0855::SB31,,5291,1507,6,9,0,1,0,1383,140,0,0,1,0,0,1523,223,205,362,110,58,84,216,44,43,16,63,21,11,51
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Wijkcentrum de Ypelaer,0855::SB33,,2619,939,11,14,0,0,0,840,122,0,2,0,2,0,962,95,104,255,53,50,70,77,29,127,7,40,4,15,13
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool De Lochtenbergh,0855::SB34,,2524,572,0,5,0,0,0,507,70,0,0,0,0,0,577,67,108,150,30,17,57,51,10,32,6,23,3,3,15
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau Basisschool De Vlashof,0855::SB35,,2058,651,3,2,0,2,0,595,63,0,0,2,0,0,658,64,78,195,36,40,64,46,13,33,4,37,8,3,30
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,Stembureau MFA Symfonie,0855::SB36,,2353,821,5,5,0,1,0,751,81,0,0,1,0,0,832,108,84,229,62,48,66,86,20,24,7,45,8,7,27
,Tilburg,GR2018_Tilburg,Gemeenteraad Tilburg 2018,0855,Tilburg,2018-03-21,"Stembureau Zwembad de Drieburcht, Wagnerplein 1a",0855::SB37,,2227,1111,7,6,0,0,0,1026,98,0,0,0,0,0,1124,119,127,322,79,76,75,118,36,27,14,70,6,9,33
