contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,CDA,OPEN/GROENLINKS/P.v.d.A.,Staatkundig Gereformeerde Partij (SGP),Burger Vertegenwoordiging Heuvelrug,ChristenUnie
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Nieuw Salem,1581::SB1,3971 CA,1718,1169,5,4,0,1,0,1076,101,0,1,0,0,0,1177,212,202,175,326,61,147,46
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Ontmoetingscentrum De Vijver,1581::SB2,3971 HK,1545,1205,3,5,0,0,0,1086,126,0,1,0,1,0,1212,277,325,135,235,51,143,39
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Sparrenheide,1581::SB3,3971 DA,1705,1185,7,4,0,0,0,1060,136,0,0,0,0,0,1196,238,286,141,278,51,126,65
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Landgoed Kraaybeekerhof,1581::SB4,3971 PA,1390,862,5,3,0,0,0,787,81,0,2,0,2,0,868,169,151,86,267,44,108,37
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Beukenhorst,1581::SB5,3972 HA,1515,1014,6,4,0,0,0,907,117,0,0,0,0,0,1024,171,193,149,246,106,104,45
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Parklaankerk,1581::SB6,3972 JX,1829,621,2,1,0,0,0,546,78,0,0,0,0,0,624,131,130,66,171,26,58,39
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau CBS De Uilenburcht,1581::SB7,3972 XD,1516,1035,4,1,0,0,0,931,109,0,0,0,0,0,1040,166,222,147,245,52,158,45
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Gereformeerde Kerk de Bron,1581::SB8,3972 DC,1601,1061,8,7,0,0,0,985,91,0,0,0,0,0,1076,164,187,188,263,47,146,66
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau 't Hoge Licht,1581::SB9,3972 PX,1873,1227,5,1,0,1,0,1115,119,0,0,1,0,0,1234,203,224,178,317,40,189,76
,Utrechtse Heuvelrug,GR2018_UtrechtseHeuvelrug,Gemeenteraad Utrechtse Heuvelrug 2018,1581,Utrechtse Heuvelrug,2018-03-21,Stembureau Ontmoetingskapel,1581::SB10,3951 AB,1308,942,3,0,0,0,0,859,86,0,0,0,0,0,945,140,234,166,147,58,161,36
