contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,KIES Lokaal,GROENLINKS,Democraten 66 (D66),VVD,CDA,Gemeentebelangen B-E-S,Partij van de Arbeid (P.v.d.A.),Behoorlijk Bestuur Bergen N.H.
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Verpleeghuis Oudtburgh,0373::SB1,1862BC,1739,1012,2,6,0,0,0,931,89,0,0,0,0,0,1020,89,221,107,188,119,177,88,23
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Frankenstate,0373::SB2,1861HD,1792,1193,3,5,0,0,0,1073,129,1,0,1,0,0,1202,64,204,182,379,108,171,69,16
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Wijksteunpunt,0373::SB3,1861JW,1796,1247,4,3,0,1,0,1101,154,0,0,1,0,0,1255,117,236,121,346,99,215,93,20
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau PCC Bergen,0373::SB4,1861TG,1767,1234,9,2,0,2,0,1114,133,0,0,2,0,0,1247,116,260,155,224,135,188,126,30
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau T. & O. -buurthuis,0373::SB5,1862XE,1566,955,2,3,0,0,0,877,83,0,0,0,0,0,960,98,233,131,111,124,128,99,31
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Zorgcentrum de Marke,0373::SB6,1862JA,1627,1130,2,1,0,0,0,1047,86,0,0,0,0,0,1133,106,229,169,134,186,156,131,19
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Hotel Victoria,0373::SB7,1865AB,309,251,4,1,0,0,0,230,26,0,0,0,0,0,256,22,57,25,68,22,28,17,12
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Hotel Merlet,0373::SB8,1871AC,1218,724,3,2,0,0,0,664,65,0,0,0,0,0,729,52,183,73,150,64,73,66,63
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Dorpscentrum de Blinkerd,0373::SB9,1871EM,1059,771,3,1,0,0,0,695,80,0,0,0,0,0,775,78,129,108,94,113,83,48,118
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Basisschool Het Klimduin,0373::SB10,1873JA,1543,883,2,0,0,0,0,794,91,0,0,0,0,0,885,93,159,70,105,138,115,99,104
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau De Sanderij,0373::SB11,1871ER,1384,905,4,3,0,0,0,830,82,0,0,0,0,0,912,106,139,107,117,113,102,92,129
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Adelbertuskerk (parochiezaal),0373::SB12,1935EW,1076,683,1,0,0,0,0,626,59,1,0,1,0,0,685,441,71,20,39,66,19,11,16
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Dorpshuis De Schulp,0373::SB13,1935EB,1159,815,2,1,0,0,0,768,50,0,0,0,0,0,818,519,84,20,45,70,42,20,15
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Boswaidschool,0373::SB14,1934GN,1537,934,2,6,0,0,0,856,86,0,0,0,0,0,942,317,151,69,99,115,86,29,68
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Dorpshuis Hanswijk,0373::SB15,1934CP,1347,843,2,5,0,0,0,775,75,0,0,0,0,0,850,241,168,42,120,110,116,22,24
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau O.K. Verenigingsgebouw,0373::SB16,1931CA,1366,876,2,4,0,0,0,794,88,0,0,0,0,0,882,281,121,53,103,60,142,52,64
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Zorgcentrum Agnes,0373::SB17,1931VN,1304,650,2,5,0,0,0,605,52,0,0,0,0,0,657,215,74,23,85,81,89,37,46
,Bergen (NH),GR2018_BergenNH,Gemeenteraad Bergen (NH) 2018,0373,Bergen (NH),2018-03-21,Stembureau Prins Hendrikstichting,0373::SB18,1931AH,1335,770,4,8,0,0,0,729,53,0,0,0,0,0,782,245,130,39,47,71,124,48,66
