contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeente Belang Krimpenerwaard (VGBK),Staatkundig Gereformeerde Partij (SGP),VVD,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,Democraten 66 (D66),Pro Krimpenerwaard,Lokaal op 1
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Raadhuis,1931::SB1,2941 ES,1512,1141,2,2,1,0,0,1020,124,0,1,0,0,0,1144,146,82,210,140,64,46,68,106,279
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Het Schateiland,1931::SB2,2941 SE,1229,596,4,4,0,0,0,557,47,0,0,0,0,0,604,59,63,70,74,49,26,36,60,159
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau CBS  Eben-Haëzer,1931::SB3,2941 VE,1231,712,1,1,0,0,0,629,85,0,0,0,0,0,714,77,140,91,61,53,52,25,59,154
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau De Breeje Hendrick,1931::SB4,2941 TN,1076,703,4,1,0,2,0,653,57,0,0,2,0,0,710,71,83,75,87,61,23,37,55,211
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Ichthus Kerk,1931::SB5,2941 BM,1105,726,2,3,0,0,0,647,84,0,0,0,0,0,731,70,97,123,44,86,33,37,66,170
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Het Cultuurhuis,1931::SB6,2931 EC,1248,857,5,4,0,1,0,784,83,0,0,1,0,0,867,89,69,76,77,66,64,50,78,288
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Het Koetshuis,1931::SB7,2931 AG,1418,763,0,2,0,0,0,697,68,0,0,0,0,0,765,66,67,62,61,46,62,29,73,297
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Floraschool,1931::SB8,2931 RP,1363,841,3,2,0,0,0,780,66,0,0,0,0,0,846,120,59,73,52,70,40,42,96,289
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau De Dertienhuizen,1931::SB9,2931 XZ,1363,747,5,7,0,0,0,694,66,0,0,1,0,0,760,72,62,63,74,72,41,24,68,271
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Gemeentehuis,1931::SB10,2861 AH,1152,647,1,2,0,0,0,589,61,0,0,0,0,0,650,149,134,67,29,113,73,24,47,11
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau De Waard,1931::SB11,2861 VJ,1343,1021,2,3,0,0,0,917,109,0,0,0,0,0,1026,305,146,92,54,176,122,56,53,17
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Dienstencentrum Burg. Huijbrechtstr,1931::SB12,2861 DA,1429,880,2,3,0,0,0,766,119,0,0,0,0,0,885,158,145,147,54,154,127,38,52,5
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau H. Zanenhuis,1931::SB13,2865 AS,1487,824,3,5,0,0,0,770,64,0,0,2,0,0,834,308,26,97,120,73,33,58,89,20
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,"Stembureau Cultureel Centrum, De Zwaan",1931::SB14,2825 BS,1239,965,3,0,0,0,0,832,136,0,0,0,0,0,968,189,325,115,33,64,103,61,62,13
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Zorgcentrum Slothoven,1931::SB15,2861 DV,1262,829,2,2,0,0,0,743,90,0,0,0,0,0,833,205,118,130,30,144,84,39,68,11
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau De Drie Maenen,1931::SB16,2935 SB,1804,1225,5,3,0,1,0,1232,0,0,1,0,0,0,1232,101,325,235,86,103,150,60,93,72
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Kerkgebouw,1931::SB17,2935 SV,1700,1129,3,4,0,0,0,979,157,0,0,0,0,0,1136,97,255,246,85,107,159,56,63,61
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,"Stembureau Oosterkerk, Lageweg",1931::SB19,2935 CD,1076,614,3,1,0,0,0,560,58,0,0,0,0,0,618,93,167,100,33,25,90,33,42,31
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Dorpshuis Gouderak,1931::SB20,2831 XV,1849,1240,3,2,0,1,0,1114,132,0,0,1,0,0,1246,246,162,195,133,190,173,53,67,21
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau De Bron,1931::SB22,2871 AH,1701,1005,4,5,0,0,0,904,110,0,0,0,0,0,1014,165,39,223,55,170,85,97,159,12
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Zalencentrum de Overkant,1931::SB23,2871 BC,1672,1031,8,4,0,0,0,949,94,0,0,0,0,0,1043,188,38,227,62,127,71,126,183,9
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Openbare Bibliotheek Schoonhoven,1931::SB24,2871 TN,1723,1068,5,5,0,0,0,974,104,0,0,0,0,0,1078,246,95,153,78,119,70,133,164,10
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Sporthal de Meent,1931::SB25,2871 WG,1609,725,3,2,0,0,0,655,75,0,0,0,0,0,730,193,41,93,60,77,67,60,120,14
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau BBS De Rank-West,1931::SB26,2871 JM,1673,900,7,5,0,1,0,835,78,0,0,1,0,0,913,218,41,90,67,119,103,98,142,22
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau P.G de Hoeksteen,1931::SB27,2871 LD,1611,1020,7,3,0,2,0,940,92,0,0,2,0,0,1032,218,58,180,58,143,100,100,152,11
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Dienstencentrum Hof van Stein,1931::SB28,2851 TD,1705,862,2,2,0,2,0,807,62,1,0,3,0,0,869,389,32,80,46,159,33,51,72,0
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Cultureel Centrum Concordia,1931::SB29,2851 VV,1643,1285,0,0,0,0,0,1140,145,0,0,0,0,0,1285,531,73,174,73,174,42,80,124,14
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Rehoboth,1931::SB30,2821 AP,1357,970,5,2,0,0,0,831,146,0,0,0,0,0,977,263,282,115,32,82,113,29,53,1
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Het Kwartier (voorheen de Stolp),1931::SB31,2821 VB,1488,1264,5,1,0,1,0,1129,140,0,1,0,0,0,1269,543,273,103,48,97,95,37,56,12
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Vlisterstee,1931::SB32,2855 AK,501,359,0,2,0,0,0,321,40,0,0,0,0,0,361,75,65,43,17,62,59,17,21,0
,Krimpenerwaard,GR2018_Krimpenerwaard,Gemeenteraad Krimpenerwaard 2018,1931,Krimpenerwaard,2018-03-21,Stembureau Gemiva A.C. de Baanbreker,1931::SB33,2821 ZA,1205,549,0,6,0,1,0,489,67,0,0,1,0,0,556,209,108,59,15,55,67,10,23,3
