contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Volkspartij Dongen,CDA,VVD,Partij van de Arbeid (P.v.d.A.),5,Democraten 66 (D66),De Ouderenpartij voor Dongen
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Gemeentehuis,0766::SB1,5104 JJ,3484,1601,9,4,0,1,0,1454,159,0,1,0,0,0,1613,367,249,285,292,70,220,118
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Basisschool De Vlinderboom,0766::SB2,5102 XS,2707,1155,0,21,0,0,0,1072,104,0,0,0,0,0,1176,342,135,144,195,37,176,126
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau De Volckaert,0766::SB3,5102 DB,1280,824,5,2,0,0,0,756,75,0,0,0,0,0,831,251,99,99,113,38,128,96
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Basisschool St. Jan,0766::SB4,5104 CL,1612,876,6,0,0,0,0,804,78,0,0,0,0,0,882,280,86,133,138,36,109,94
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Basisschool Achterberg,0766::SB5,5104 EG,1380,694,3,3,0,0,1,610,89,0,0,0,0,0,700,193,86,117,99,23,126,50
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Clubgebouw V.V. Dongen,0766::SB6,,2238,1309,9,3,0,0,0,1184,137,0,0,0,0,0,1321,374,124,270,228,44,179,90
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Basisschool de Noorderpoort,0766::SB7,5103 GN,2553,1240,4,3,0,0,0,1133,114,0,0,0,0,0,1247,404,150,171,210,54,171,80
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Sportzaal De Gaasjes,0766::SB8,5106 NC,860,529,0,0,0,0,0,468,61,0,0,0,0,0,529,268,96,59,22,19,36,29
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Dorpshuis De Geubel,0766::SB9,5109 AC,1899,1066,4,2,0,0,0,958,114,0,0,0,0,0,1072,234,417,123,116,35,97,44
,Dongen,GR2018_Dongen,Gemeenteraad Dongen 2018,0766,Dongen,2018-03-21,Stembureau Europlus,0766::SB10,5101 TJ,2688,1072,9,5,0,0,0,984,102,0,0,0,0,0,1086,312,133,160,168,36,171,92
