contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Democraten 66 (D66),ChristenUnie,Leefbaar Dronten,SP (Socialistische Partij),GROENLINKS,Partij van de Arbeid (P.v.d.A.),JEZUS LEEFT
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau De Meerpaal,0303::SB1,8251 EX,2075,1511,15,1,0,3,0,1402,122,0,3,0,0,0,1524,360,318,94,186,165,145,140,93,10
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Kantine Sportvereniging Reaal,0303::SB2,8253 BA,1729,1040,10,3,0,0,0,936,116,0,1,0,1,0,1052,160,285,132,123,82,49,133,58,18
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Basisschool De Dukdalf,0303::SB3,8253 EA,2626,1471,5,7,0,0,0,1313,170,0,0,0,0,0,1483,236,376,156,218,144,109,131,85,16
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Mr. Antoine M.G. Gresel Kazerne,0303::SB4,8251 KP,2049,1129,7,6,0,2,0,1018,126,0,0,2,0,0,1144,217,207,96,167,150,112,120,49,11
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Woonzorgcentrum De Regenboog,0303::SB5,8254 AB,1738,925,6,5,0,0,0,848,88,0,0,0,0,0,936,202,154,80,147,129,74,64,60,15
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Ontmoetingskerk,0303::SB6,8251 LD,1827,958,5,4,0,0,0,885,82,0,0,0,0,0,967,230,138,68,149,113,101,87,63,9
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Samenwerkingsschool De Brandaris,0303::SB7,8251 VX,1715,748,11,2,0,1,0,710,50,0,1,0,0,0,760,113,111,75,117,94,73,100,48,17
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Samenwerkingsschool Het Wilgerijs,0303::SB8,8251 TJ,1563,1130,10,0,0,1,0,1056,85,0,0,1,0,0,1141,184,213,105,183,141,105,120,72,7
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Clubhuis Golfresidentie,0303::SB9,8251 NS,1044,713,0,3,0,0,0,654,62,0,0,0,0,0,716,103,286,69,41,107,24,50,29,4
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Basisschool Flevosprong,0303::SB10,8252 GW,1641,1084,2,8,0,1,0,995,100,0,0,1,0,0,1095,193,254,128,160,109,85,93,56,6
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Basisschool Het Kompas,0303::SB11,8252 GJ,1654,946,6,3,0,1,0,896,60,0,0,1,0,0,956,173,188,96,146,108,60,108,61,6
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Dorpshuis De Steiger,0303::SB12,8255 DM,1438,784,7,8,0,1,0,733,67,0,0,1,0,0,800,205,149,64,57,149,88,39,28,5
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Kerkcentrum De Hoeksteen,0303::SB13,8255 AA,1407,770,4,2,0,0,0,717,59,0,0,0,0,0,776,206,188,59,32,133,68,40,36,8
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Basisschool De Duykeldam,0303::SB14,8255 AR,2052,950,10,1,0,0,0,854,107,0,0,0,0,0,961,163,205,109,65,189,106,50,55,8
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Het Koetshuis,0303::SB15,8256 BD,1451,975,3,7,0,2,0,890,97,0,0,2,0,0,987,262,208,45,92,90,106,100,59,13
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Mimar Sinan Moskee,0303::SB16,8256 BX,1496,590,5,3,0,0,0,532,66,0,0,0,0,0,598,171,127,41,42,60,69,44,34,2
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Kerkcentrum De Voorhof,0303::SB17,8256 BK,1979,862,1,1,0,5,0,766,93,0,5,0,0,0,859,261,192,48,81,94,78,57,43,8
,Dronten,GR2018_Dronten,Gemeenteraad Dronten 2018,0303,Dronten,2018-03-21,Stembureau Basisschool De Klimboom,0303::SB18,8253 EA,1945,818,3,0,0,0,0,734,87,0,0,0,0,0,821,128,250,113,103,63,60,54,34,13
