contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Leefbaar Almere,SP (Socialistische Partij),GROENLINKS,CDA,ChristenUnie,AP/OPA,WSTAV (Wij Staan Voor),Respect Almere,Almere Anders'18,GLP,WOW (Wonen Ondernemen Werken),Partij voor de Dieren
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Stadhuis I,0034::SB1,,1627,946,6,4,0,1,0,881,76,0,0,1,0,0,957,92,109,158,132,71,75,96,38,40,18,23,11,10,9,9,55
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Zorgcentrum De Overloop,0034::SB2,,1864,561,7,3,0,0,0,533,38,0,0,0,0,0,571,107,42,70,40,72,73,27,26,14,17,3,8,13,6,0,43
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Polderhof,0034::SB3,,1905,745,3,1,0,0,0,673,76,0,0,0,0,0,749,118,68,106,59,81,62,64,41,26,31,6,11,18,5,1,48
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Klaverweide,0034::SB7,,1616,736,4,2,0,0,0,678,64,0,0,0,0,0,742,123,76,84,89,74,56,55,32,22,34,1,15,19,13,2,41
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Drieluik,0034::SB8,,1649,524,0,1,0,0,0,488,37,0,0,0,0,0,525,51,45,72,104,36,20,40,32,31,27,4,17,10,6,2,27
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum Amerika I,0034::SB9,,1930,663,4,5,0,0,0,600,72,0,0,0,0,0,672,69,90,97,130,31,21,49,23,32,14,8,18,15,14,9,43
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Ontdekking,0034::SB11,,1739,402,0,2,0,0,0,353,51,0,0,0,0,0,404,45,73,48,102,27,15,27,14,11,3,0,5,6,3,5,18
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1533,817,2,6,0,0,0,754,71,0,0,0,0,0,825,123,59,94,75,90,67,89,31,33,53,2,3,11,11,3,73
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Regenboog,0034::SB13,,1426,768,4,11,0,0,0,707,76,0,0,0,0,0,783,112,70,94,86,57,85,70,27,32,24,1,7,21,9,4,69
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau IKC Aquamarijn I,0034::SB14,,1821,721,0,5,0,0,0,661,66,1,0,1,0,0,727,107,66,91,107,82,40,58,32,15,23,3,10,11,23,2,51
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Flierefluiter,0034::SB15,,1864,1171,2,3,0,0,0,1067,109,0,0,0,0,0,1176,160,110,135,146,92,95,127,43,25,62,5,8,43,33,2,85
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Samenspel Midden,0034::SB16,,1953,626,3,5,0,0,0,573,61,0,0,0,0,0,634,88,61,97,56,43,76,45,27,40,25,5,8,5,13,3,34
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Achtbaan,0034::SB17,,1844,733,3,6,0,0,0,672,70,0,0,0,0,0,742,119,58,109,47,49,73,51,32,29,45,10,31,6,16,6,52
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Spectrum II,0034::SB18,,1973,818,3,7,0,0,0,749,79,0,0,0,0,0,828,94,86,104,119,50,49,87,27,57,23,0,29,17,15,3,58
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau Buurthuis De Buitenkans,0034::SB20,,1744,364,0,1,0,0,0,336,29,0,0,0,0,0,365,24,57,41,84,23,12,58,8,13,6,0,1,4,3,3,27
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Het Samenspel Noord,0034::SB21,,1281,364,1,3,0,0,0,306,62,0,0,0,0,0,368,49,13,77,22,15,63,41,6,22,8,11,5,4,3,4,21
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School Digitalis,0034::SB23,,1627,821,5,1,0,0,0,750,77,0,0,0,0,0,827,132,84,133,58,55,81,72,24,36,46,18,24,13,10,8,27
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Kameleon,0034::SB24,,1960,831,3,4,0,0,0,838,0,0,0,0,0,0,838,111,71,127,89,69,64,77,42,33,55,2,10,8,24,4,45
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School de Shri Ganesha,0034::SB25,,1900,227,1,4,0,0,0,199,33,0,0,0,0,0,232,26,21,59,10,15,27,19,3,8,8,2,3,6,1,3,16
,Almere,GR2018_Almere,Gemeenteraad Almere 2018,0034,Almere,2018-03-21,Stembureau School De Driemaster,0034::SB26,,1979,890,5,9,0,1,0,825,78,0,1,0,0,0,903,144,60,138,66,64,106,67,33,26,40,10,24,15,14,10,73
