contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),LEEFBAAR REIMERSWAAL,CDA,VVD,Partij van de Arbeid (P.v.d.A.),ChristenUnie
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Ons Dorpshuis,0703::SB1,4416 BJ,725,652,3,5,0,0,0,594,66,0,0,0,0,0,660,209,142,60,93,84,64
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Verenigingsgebouw Geref. Gemeente,0703::SB2,4416 BJ,1142,911,3,2,0,1,0,778,139,0,0,1,0,0,917,475,119,48,113,79,77
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Dorpshuis Kaj Munk,0703::SB3,4417 AA,1332,777,0,3,0,0,0,686,95,1,0,1,0,0,781,17,285,62,77,306,30
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Dorpscentrum MeerWaarde,0703::SB4,4414 AK,964,766,1,2,0,0,0,664,105,0,0,0,0,0,769,413,93,82,49,19,110
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Het Oogappeltje,0703::SB5,4401 EC,1355,934,0,4,0,0,0,803,135,0,0,0,0,0,938,261,165,95,170,56,187
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau De Putter Oostdijk,0703::SB6,4415 AE,385,334,0,0,0,0,0,277,57,0,0,0,0,0,334,237,29,26,6,3,33
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Verenigingsgebouw Geref. Gemeente,0703::SB7,4401 CB,1295,998,0,2,0,0,0,819,181,0,0,0,0,0,1000,561,106,55,103,32,141
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Dorpshuis De Meiboom,0703::SB8,4413 GB,1067,796,0,0,0,0,0,686,110,0,0,0,0,0,796,370,138,60,70,28,130
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Zorgcentrum Ter Weel,0703::SB9,4413 CP,1064,974,4,3,0,0,0,833,148,0,0,0,0,0,981,448,127,103,47,72,177
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Dorpshuis Luctor et Emergo,0703::SB10,4411 AP,1468,824,3,3,0,0,0,742,88,0,0,0,0,0,830,91,235,102,138,146,112
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Seniorencomplex Oostkilhoek,0703::SB11,4411 AC,1013,538,1,1,0,0,0,488,52,0,0,0,0,0,540,93,126,63,92,98,66
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Brandweerkazerne Yerseke,0703::SB12,4401 KW,1290,713,1,2,0,1,0,621,96,0,0,1,0,0,717,189,139,45,123,33,184
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Zorgcentrum Moerzicht,0703::SB13,4401 HZ,1232,997,1,2,0,2,0,827,171,0,2,0,0,0,998,289,130,119,168,59,232
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Reimerswaalhal,0703::SB14,4416 RC,1413,720,2,2,0,0,0,627,97,0,0,0,0,0,724,224,111,57,136,105,87
,Reimerswaal,GR2018_Reimerswaal,Gemeenteraad Reimerswaal 2018,0703,Reimerswaal,2018-03-21,Stembureau Verenigingsgebouw Geref. Kerk,0703::SB15,4413 BK,1009,624,0,1,0,1,0,543,81,0,1,0,0,0,624,302,85,76,41,25,95
