contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,CDA,VVD,Lokaal Alternatief,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),BurgerBelangen,GROENLINKS,Raalte Natuurlijk
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Gemeentehuis,0177::SB1,8101 AC,2260,1482,10,4,0,1,0,1397,98,0,1,0,0,0,1495,325,312,227,10,78,44,104,257,80,45
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau ZGR Swaenewoerd,0177::SB2,8102 BE,1465,867,2,8,0,1,0,830,48,0,0,1,0,0,878,172,203,115,6,31,37,39,182,40,42
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau KBS De Bolster,0177::SB3,8102 JH,1092,625,6,1,0,2,0,597,37,0,0,2,0,0,634,145,127,79,8,45,27,41,94,40,19
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Dorpshuis Lierderholthuis,0177::SB4,8144 RG,498,280,2,0,0,0,0,257,25,0,0,0,0,0,282,91,44,10,40,9,3,12,55,11,5
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Adficount Salland B.V.,0177::SB5,8102 KE,1260,821,3,0,0,0,0,766,58,0,0,0,0,0,824,187,160,135,6,41,27,68,124,50,23
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Woonzorglocatie De Hartkamp,0177::SB6,8101 EN,1549,913,2,5,0,0,0,861,59,0,0,0,0,0,920,224,192,114,5,46,37,57,141,80,17
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Helpende Handen,0177::SB7,8101 PP,932,543,8,1,0,0,0,523,29,0,0,0,0,0,552,113,101,71,3,26,41,37,87,39,25
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Landstede MBO,0177::SB8,8101 AB,1182,326,2,0,0,0,0,302,26,0,0,0,0,0,328,69,54,69,1,15,9,15,57,29,8
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau Obs De Vogelaar,0177::SB9,8103 EA,1829,1212,3,3,0,0,0,1091,127,0,0,0,0,0,1218,258,144,223,10,73,38,92,270,73,31
,Raalte,GR2018_Raalte,Gemeenteraad Raalte 2018,0177,Raalte,2018-03-21,Stembureau De Noaber - Schuilenburg,0177::SB10,8103 RB,1942,967,8,1,0,0,0,895,81,0,0,0,0,0,976,174,156,216,8,53,12,40,249,49,10
