contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heerhugowaardse Onafhankelijke Partij (HOP),CDA,VVD,Democraten 66 (D66),Senioren HHW,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Nederland Duurzaam,GROENLINKS,Partij voor Iedereen,PP Recht & Eerlijk
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Gemeentehuis,0398::SB1,,2717,1697,10,12,0,1,0,1588,130,0,1,0,0,0,1718,296,206,222,136,366,127,50,69,150,26,49
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau O.b.s. De Carrousel,0398::SB2,,1453,709,5,6,0,0,0,660,60,0,0,0,0,0,720,193,58,75,76,80,56,38,56,56,4,17
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau De Zonnewijzer,0398::SB3,,2045,1363,3,4,0,3,2,1228,137,0,0,3,0,0,1367,321,134,220,132,199,87,32,81,109,23,25
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Buurthuis De Hoeksteen,0398::SB4,,1876,792,3,2,0,0,0,739,58,0,0,0,0,0,797,210,54,73,64,128,63,34,59,79,4,24
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau ICBS De Vaart Bakboord,0398::SB5,,1657,613,2,5,0,0,0,580,40,0,0,0,0,0,620,168,32,40,49,90,47,28,38,68,15,38
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau ICBS De Vaart Stuurboord,0398::SB6,,1834,646,3,3,0,0,0,592,60,0,0,0,0,0,652,170,67,52,45,72,47,22,37,66,23,45
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,"Stembureau Trinitas College, loc. J. Bosco",0398::SB7,,1326,615,2,0,0,0,0,565,52,0,0,0,0,0,617,155,54,65,55,108,39,8,46,53,10,22
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau O.b.s. Atalanta,0398::SB8,,1759,639,3,0,0,0,0,568,74,0,0,0,0,0,642,105,64,151,113,64,28,9,41,44,10,10
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau ICBS De Boomladder,0398::SB9,,1586,980,5,1,0,0,0,904,82,0,0,0,0,0,986,227,79,102,72,223,73,40,59,77,6,22
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Woonzorgcomplex Arboretum,0398::SB10,,1837,798,2,6,0,0,0,752,54,0,0,0,0,0,806,150,99,52,38,210,65,41,39,63,14,27
,Heerhugowaard,GR2018_Heerhugowaard,Gemeenteraad Heerhugowaard 2018,0398,Heerhugowaard,2018-03-21,Stembureau Woonzorgcentrum Hugo-Waard,0398::SB11,,1540,819,1,5,0,0,0,764,63,0,0,2,0,0,827,198,113,112,61,154,41,24,48,47,8,13
