contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Zeewolde,VVD,ChristenUnie,CDA,Democraten 66 (D66),Partij van de Arbeid/GROENLINKS,Zeewolde Liberaal,Burgerbelang
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau Gemeentehuis,0050::SB1,3891 ER,1415,1211,8,5,0,0,0,1135,89,0,0,0,0,0,1224,307,196,145,137,153,131,90,52
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau 't Wold,0050::SB2,3891 CB,1387,844,2,3,0,3,0,770,82,0,0,3,0,0,852,238,111,96,83,95,83,60,78
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau De Richtingwijzer,0050::SB3,3892 AL,1536,1077,3,4,0,0,0,971,113,0,0,0,0,0,1084,316,103,181,113,141,100,78,45
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau In de Lichtkring,0050::SB4,3891 DK,1371,744,3,0,0,0,0,683,61,0,3,0,0,0,744,191,67,175,68,85,64,46,48
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau Voetbal Vereniging Zeewolde,0050::SB5,3893 AA,1346,634,2,1,0,0,0,528,109,0,0,0,0,0,637,132,140,60,120,74,66,30,12
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau De Wetering,0050::SB6,3892 HZ,1609,995,2,3,0,1,0,911,90,0,0,1,0,0,1001,345,139,111,70,121,109,60,40
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau 't Kofschip,0050::SB7,3893 BE,1501,816,2,0,0,0,0,736,82,0,0,0,0,0,818,257,111,121,63,91,82,47,44
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau De Toermalijn,0050::SB8,3893 EB,1596,961,6,9,0,0,0,974,2,0,0,0,0,0,976,225,162,147,81,147,67,77,55
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau Het Mozaïek,0050::SB9,3893 EB,1574,898,0,0,0,11,0,811,98,0,0,11,0,0,909,241,154,151,107,114,55,54,22
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau Het Kruispunt,0050::SB10,3894 BA,1356,423,1,1,0,0,0,341,84,0,0,0,0,0,425,36,91,74,133,42,18,18,11
,Zeewolde,GR2018_Zeewolde,Gemeenteraad Zeewolde 2018,0050,Zeewolde,2018-03-21,Stembureau Panta Rhei,0050::SB11,3894 BA,2225,1148,1,2,0,0,0,1031,120,0,0,0,0,0,1151,293,233,141,96,170,88,78,49
