contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),Essentie,Partij van de Arbeid (P.v.d.A.),D66/GROENLINKS,VVD
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Gemeentehuis Horst a/d Maas (Horst),1507::SB1,5961 ES,2219,1334,6,10,0,1,0,1191,160,0,0,1,0,0,1351,372,185,197,239,236,105
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Sporthal De Berkel (Horst),1507::SB2,5961 HA,2296,1101,2,8,0,1,0,988,124,0,0,1,0,0,1112,416,160,144,137,157,87
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau OJC Niks (Horst),1507::SB3,5961 TS,2111,1310,9,1,0,0,0,1163,157,0,0,0,0,0,1320,379,258,165,215,200,93
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau De Lèste Geulde (Horst),1507::SB4,5961 XW,1574,1010,3,4,0,1,0,917,99,0,1,0,0,0,1016,359,173,119,135,148,76
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Kantine Sporthal Dendron (Horst),1507::SB5,5961 BE,969,528,1,1,0,0,0,479,51,0,0,0,0,0,530,172,107,66,60,89,34
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Woonz.compl. Aan de Brug (America),1507::SB6,5966 NM,1680,863,1,3,0,0,0,770,97,0,0,0,0,0,867,400,165,140,77,42,39
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Gem.huis de Zaal (Griendtsveen),1507::SB7,5766 PP,421,215,2,1,0,0,0,201,17,0,0,0,0,0,218,44,40,43,20,49,19
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau Zaal Debije (Hegelsom),1507::SB8,5963 AG,1540,888,1,3,0,0,0,797,95,0,0,0,0,0,892,512,113,79,62,67,55
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau MFC de Zwingel (Melderslo),1507::SB9,5962 AT,1685,936,3,2,0,0,0,834,107,0,0,0,0,0,941,484,124,95,55,75,103
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,Stembureau MFC 'De Meulewiek' (Meterik),1507::SB10,5964 AC,1316,788,4,1,0,0,0,690,103,0,0,0,0,0,793,451,61,115,62,64,35
,Horst aan de Maas,GR2018_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2018,1507,Horst aan de Maas,2018-03-21,"Stembureau BMV ""De Schakel"" (Broekhuizenvorst)",1507::SB11,5871 AW,855,451,5,0,0,0,0,421,35,0,0,0,0,0,456,100,55,130,40,93,33
