contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,De Gewone Man,Dorpsvisie,VVD,Democraten 66 (D66),Sociaal Progressief Oirschot
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Gemeentehuis,0823::SB1,5688 AK,1644,1105,10,3,0,0,0,995,123,0,0,0,0,0,1118,265,101,222,214,116,187
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Basisschool De Linde,0823::SB2,5688 KB,1494,885,10,7,0,0,0,820,82,0,0,0,0,0,902,242,77,190,125,101,150
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Zorgcentrum Sint Joris,0823::SB3,5688 AS,1454,713,5,7,1,1,0,665,58,0,2,0,0,0,723,202,99,129,101,76,106
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Dorpshuis Den Deel,0823::SB4,5688 KN,1710,959,0,3,0,0,0,856,106,0,0,0,0,0,962,286,122,201,169,72,109
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Basisschool de Plataan,0823::SB5,5688 DB,1429,778,8,2,0,0,0,716,72,0,0,0,0,0,788,196,69,147,134,89,143
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Openbare basisschool De Korenbloem,0823::SB6,5688 PG,1594,1028,4,1,0,0,0,933,102,2,0,2,0,0,1035,200,79,184,218,121,226
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Antoniusschool,0823::SB7,5688 NM,1323,717,1,1,0,0,0,652,67,0,0,0,0,0,719,182,121,113,171,74,56
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau De Kerk Oostelbeers,0823::SB8,5091 BE,1305,823,1,1,0,1,0,746,80,0,0,1,0,0,826,166,335,123,48,37,114
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Kantine BBoys,0823::SB9,5091 EM,1502,865,0,0,0,0,0,778,87,0,0,0,0,0,865,215,335,98,58,31,128
,Oirschot,GR2018_Oirschot,Gemeenteraad Oirschot 2018,0823,Oirschot,2018-03-21,Stembureau Ons Mevrouw,0823::SB10,5091 CB,1521,1088,5,3,0,0,0,978,118,0,0,0,0,0,1096,211,545,85,63,53,131
