contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,STADSPARTIJ,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Ouderenpartij AOV Purmerend,CDA,Leefbaar Purmerend 2001,GROENLINKS,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Groep HOP,TOP,Lijst Van Damme (LVD)
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Stadhuis,0439::SB1,1441 DM,1869,1222,5,11,0,0,0,1108,130,0,0,0,0,0,1238,152,125,105,122,81,250,77,139,64,63,3,19,22
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau De Avondzon,0439::SB2,1441 CM,1849,875,5,4,0,0,0,821,63,0,0,0,0,0,884,96,108,51,92,73,120,71,110,48,54,4,30,18
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Bibliotheek Purmerend,0439::SB3,1441 MP,1982,1068,8,2,0,0,0,963,118,3,0,3,0,0,1081,142,113,85,72,96,116,64,126,109,104,3,17,21
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, locatie De Viervorst",0439::SB4,1441 HC,1314,782,1,3,0,2,0,717,72,1,0,3,0,0,789,89,62,73,63,103,134,55,83,46,46,0,15,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Verzorgingshuis De Tien Gemeenten,0439::SB5,1442 AA,1221,770,4,4,0,0,0,720,60,0,0,2,0,0,780,66,76,51,65,94,153,50,89,54,46,1,12,13
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Obs 't Carrousel,0439::SB6,1442 PZ,1913,766,7,5,0,0,0,720,58,0,0,0,0,0,778,100,69,93,35,60,78,58,75,85,64,12,11,26
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Bets Frijlingschool,0439::SB7,1442 EC,1346,570,8,2,0,0,0,527,53,0,0,0,0,0,580,71,56,47,29,52,82,51,67,36,51,2,15,11
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, locatie Novawhere",0439::SB8,1444 HT,1537,751,5,2,0,0,0,692,68,0,0,2,0,0,760,83,91,63,87,56,132,73,63,49,31,1,10,12
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,"Stembureau De Zorgcirkel, Jaap van Praag",0439::SB9,1444 TA,1177,784,5,1,0,1,0,738,53,0,0,1,0,0,791,80,82,75,66,94,122,51,81,55,53,0,10,15
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Wijkcentrum de Inval,0439::SB10,1444 HV,1754,765,3,5,0,0,0,707,66,0,0,0,0,0,773,71,67,75,55,81,99,111,72,64,38,0,15,17
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Lijn 5,0439::SB11,1444 GE,1867,752,2,2,0,0,0,681,76,0,0,1,1,0,757,77,101,73,38,47,115,75,79,47,50,11,17,22
,Purmerend,GR2018_Purmerend,Gemeenteraad Purmerend 2018,0439,Purmerend,2018-03-21,Stembureau Wijkplein Where,0439::SB12,1443 BM,1452,1105,9,3,0,1,0,1031,85,0,1,0,0,0,1116,192,63,82,57,190,129,65,99,112,77,4,14,21
