contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GBWP,Lijst Linssen,VVD,Democraten 66 (D66),BSD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Steunpunt Bergen op Zoom,SP (Socialistische Partij)
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Ontmoetingscentrum De Korenaere,0748::SB1,4611 RD,1832,947,3,2,0,0,0,875,77,0,0,0,0,0,952,148,123,147,86,142,68,64,101,21,47
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Zoomflat,0748::SB2,4611 EH,2153,1012,6,6,0,0,0,896,128,0,0,0,0,0,1024,180,142,162,96,103,75,96,72,27,59
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Mollerlyceum,0748::SB3,4611 DX,1472,734,0,3,0,0,0,661,76,0,0,0,0,0,737,106,82,134,97,100,88,37,60,16,14
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Stadskantoor,0748::SB4,4611 AR,2001,1247,7,9,0,0,0,1144,119,0,0,0,0,0,1263,279,165,176,127,105,107,83,102,33,70
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Ontmoetingscentrum het Fort,0748::SB5,4615 EV,1642,717,1,3,0,0,0,646,75,0,0,0,0,0,721,132,125,63,50,86,61,58,43,35,64
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Gymnasium Juvenaat,0748::SB6,4615 DC,1195,447,5,0,0,0,0,401,51,0,0,0,0,0,452,97,60,69,52,19,46,16,34,22,32
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Woonzorgcentrum Stuijvenburgh,0748::SB7,4615 KX,2101,843,2,8,0,0,0,794,59,0,0,0,0,0,853,201,118,115,87,51,102,52,40,32,45
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau School de Borghoek,0748::SB8,4614 EV,1737,921,3,1,0,0,0,807,118,0,0,0,0,0,925,196,123,165,142,46,95,42,46,28,38
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Wijkcentrum de Moerkens,0748::SB9,4614 EK,1411,871,1,1,0,0,0,789,84,0,0,0,0,0,873,134,144,179,111,52,128,25,62,14,22
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Serviceflat Meilust,0748::SB10,4614 CZ,1118,629,5,2,0,0,0,580,56,0,0,0,0,0,636,140,89,81,82,54,83,19,41,15,25
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Sporthal Tuinwijk,0748::SB11,4613 CT,1558,809,4,5,0,0,0,746,72,0,0,0,0,0,818,163,82,117,78,63,66,48,82,36,74
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Basisschool de Welle,0748::SB12,4613 GP,1485,813,4,2,0,0,0,731,89,0,0,1,0,0,820,159,116,97,79,58,86,63,74,28,53
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau School De Noordster,0748::SB13,4613 GP,1639,485,1,2,0,0,0,441,47,0,0,0,0,0,488,126,64,91,49,27,41,30,27,7,23
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Wijkcentrum de Kastanje,0748::SB14,4621 HK,1587,759,4,4,0,0,0,679,88,0,0,0,0,0,767,187,111,53,103,64,36,63,69,18,55
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Centrum Elsenborch,0748::SB15,4621 BW,1593,478,4,3,0,0,0,419,66,0,0,0,0,0,485,129,41,34,87,29,39,36,21,16,46
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Algemene School Oost,0748::SB16,4624 ES,1668,715,0,0,0,0,0,625,90,0,0,0,0,0,715,161,88,92,110,62,66,30,48,17,41
,Bergen op Zoom,GR2018_BergenopZoom,Gemeenteraad Bergen op Zoom 2018,0748,Bergen op Zoom,2018-03-21,Stembureau Sporthal Gageldonk,0748::SB17,4623 AH,1792,720,2,7,0,0,0,644,85,0,0,0,0,0,729,156,81,64,86,69,80,60,45,27,52
