contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Best Open,VVD,Jongerenpartij JO,Gemeentebelangen Best,Partij van de Arbeid (P.v.d.A.),ChristenUnie
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Gemeentehuis,0753::SB1,5683 GA,1562,1332,8,9,0,0,0,1231,118,0,0,0,0,0,1349,316,124,190,333,152,80,79,58
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Kindcentrum De Kiezel,0753::SB2,5682 AC,1626,1089,6,1,0,0,0,989,106,0,1,0,0,0,1095,211,81,178,310,116,59,88,46
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Bestwijzer,0753::SB3,5683 AK,2602,1012,8,7,0,0,0,966,61,0,0,0,0,0,1027,208,87,160,186,147,89,93,42
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Basisschool De Klimboom,0753::SB4,5685 GW,1704,1559,9,4,0,0,0,1371,198,0,3,0,0,0,1569,169,214,234,537,125,98,114,68
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Basisschool De Zevensprong,0753::SB5,5683 LL,1692,963,8,1,0,1,0,891,82,0,0,1,0,0,973,146,131,155,224,127,68,64,48
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Basisschool De Heydonck,0753::SB6,5684 CG,1807,497,4,2,0,0,0,441,62,0,0,0,0,0,503,69,60,57,96,85,70,43,17
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Stichting Raindrops,0753::SB7,5684 EG,1489,706,9,1,0,0,0,628,87,0,1,0,0,0,715,171,87,78,177,83,36,41,33
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Kindcentrum Platijn,0753::SB8,5684 BA,1532,670,13,2,0,0,0,622,63,0,0,0,0,0,685,80,63,97,107,120,93,62,48
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Sporthal Naestenbest,0753::SB10,5684 GJ,1785,660,3,2,0,0,0,605,60,0,0,0,0,0,665,76,68,97,142,125,45,63,44
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Basisschool De Paersacker,0753::SB11,5684 TT,1601,543,12,9,0,0,0,528,37,0,0,1,0,0,565,66,36,75,86,111,85,48,36
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Protestantse Kerk,0753::SB12,5684 VR,1486,888,7,4,0,0,0,818,81,0,0,0,0,0,899,131,89,123,134,151,113,69,78
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Basisschool St. Antonius,0753::SB13,5685 GZ,1412,634,7,2,0,0,0,578,66,0,0,1,0,0,644,87,74,71,236,65,24,40,37
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Gemeenschapshuis Vlinderhei,0753::SB14,5685 GZ,1663,949,4,3,0,0,0,859,97,0,0,0,0,0,956,122,103,124,356,72,71,46,55
,Best,GR2018_Best,Gemeenteraad Best 2018,0753,Best,2018-03-21,Stembureau Zalencentrum Prinsenhof,0753::SB15,5683 AC,1412,512,4,0,0,0,0,459,57,0,0,0,0,0,516,81,43,70,127,82,50,32,27
