contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GemeenteBelangen,CDA,VVD,"""VOOR LOON""",Pro3
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau Het Klavier,0809::SB1,5171 CV,1910,1081,10,3,0,0,0,993,101,0,0,0,0,0,1094,531,219,121,43,167
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau Scoutinggebouw Martin Luther King,0809::SB2,5171 JS,1581,849,5,4,0,0,0,765,93,0,0,0,0,0,858,329,195,187,34,104
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Gildenbond,0809::SB3,5171 JM,1766,685,4,2,0,0,0,620,71,0,0,0,0,0,691,325,141,83,30,106
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Vossenberg,0809::SB4,5171 DA,1456,664,1,1,0,0,0,604,62,0,0,0,0,0,666,352,133,94,21,64
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Westkant,0809::SB5,5171 CD,1392,565,4,2,0,0,0,522,49,0,0,0,0,0,571,282,109,75,21,78
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau Buurthuis Pannehoef,0809::SB6,5171 ZC,1563,619,4,3,0,0,0,559,67,0,0,0,0,0,626,301,127,59,29,103
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Touwladder,0809::SB7,5171 WS,1703,848,2,3,0,0,0,769,84,0,0,0,0,0,853,383,160,131,33,141
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau Crossroads,0809::SB8,5172 EA,1905,950,10,33,0,0,0,882,111,0,0,0,0,0,993,370,195,195,49,141
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Venloene,0809::SB9,5175 CX,1672,1067,4,7,0,0,0,971,107,0,0,0,0,0,1078,55,213,115,562,122
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau De Wetering,0809::SB10,5175 BZ,1651,1021,1,5,0,0,0,928,99,0,0,0,0,0,1027,43,134,145,552,147
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau Residentie Molenwijck,0809::SB11,5175 WB,1621,967,2,1,0,0,0,896,74,0,0,0,0,0,970,35,149,152,444,187
,Loon op Zand,GR2018_LoonopZand,Gemeenteraad Loon op Zand 2018,0809,Loon op Zand,2018-03-21,Stembureau 't Maoske,0809::SB12,5176 NJ,467,315,4,0,0,0,0,282,37,0,0,0,0,0,319,182,90,25,1,17
