contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang,CDA,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Zorgcentrum MMP, Kerkplein 3, Gendringen",1509::SB1,7081 BZ,1849,993,4,2,0,0,0,903,96,0,0,0,0,0,999,237,298,162,85,48,163
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Sportzaal Prinsenhof, Prinsenhof 2A, Gendringen",1509::SB2,7081 DG,1745,1069,2,4,0,0,0,963,112,0,0,0,0,0,1075,326,335,149,95,66,98
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau DRU Cultuurfabriek, Hutteweg 24, Ulft",1509::SB3,7071 BV,1805,1063,4,7,0,0,0,966,108,0,0,0,0,0,1074,315,172,145,233,71,127
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau RK Basisschool Mariaschool, Neptunus 8, Ulft",1509::SB4,7071 VG,1639,998,3,5,0,0,0,953,53,0,0,0,0,0,1006,234,191,200,179,68,126
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Clubgebouw De Eendracht, Dr. Ariënsstraat 5A, Ulft",1509::SB5,7071 AH,1794,849,0,2,0,0,0,770,81,0,0,0,0,0,851,257,181,137,163,34,77
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Gildegebouw St Joris, Hofstraat 1, Ulft",1509::SB6,7071 KA,1669,915,2,2,0,0,0,817,102,0,0,0,0,0,919,296,170,133,148,64,104
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Gildegebouw, Woldenburgseweg 1, Netterden",1509::SB7,7077 AG,388,266,1,3,0,0,0,246,24,0,0,0,0,0,270,67,118,33,13,25,10
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau De Glazeren Kast, Oudekerkstraat 2, Etten",1509::SB8,7075 AB,1504,872,1,2,0,0,0,806,69,0,0,0,0,0,875,385,203,133,32,44,75
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Gemeenschapshuis 't Dorpshuus, Hoofdstraat 29A, Varsselder",1509::SB9,7076 AG,660,395,3,0,0,0,0,362,36,0,0,0,0,0,398,180,89,21,33,32,40
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Café-Restaurant Koenders, Terborgseweg 61, Breedenbroek",1509::SB10,7084 AB,831,536,0,0,0,0,0,489,47,0,0,0,0,0,536,228,195,28,21,15,49
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Serre/café Ter Voert, Oranjeplein 1, Megchelen",1509::SB11,7078 BC,815,500,3,0,0,0,0,453,50,0,0,0,0,0,503,82,284,43,25,26,40
,Oude IJsselstreek,GR2018_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2018,1509,Oude IJsselstreek,2018-03-21,"Stembureau Vergaderruimte in sporthal,Van Pallandt, Van Pallandtstraat 8, Varsseveld",1509::SB12,7051 DE,1539,975,5,2,0,0,0,885,97,0,0,0,0,0,982,512,164,73,41,34,151
