contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Gemeentebelangen Bronckhorst (GBB),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,ChristenUnie-SGP
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Gemeentehuis,1876::SB1,7255 KA,1485,1059,2,1,0,0,0,957,104,0,1,0,1,0,1061,238,204,276,109,97,102,33
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Sporthal De Kamp / Hengelo Gld,1876::SB2,7255 CX,1620,837,4,1,0,0,0,780,62,0,0,0,0,0,842,185,179,243,60,76,70,24
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Ons Huis / Hengelo Gld,1876::SB3,7255 DM,1398,833,0,3,0,0,0,773,63,0,0,0,0,0,836,223,130,248,79,64,59,30
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,7256 BC,1471,959,5,0,0,0,0,897,67,0,0,0,0,0,964,467,103,217,32,55,67,18
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Dorpshuis Varssel,1876::SB5,7255 MR,667,374,2,0,0,0,0,345,31,0,0,0,0,0,376,92,64,96,26,27,47,22
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Cult. centrum De Brink / Zelhem,1876::SB6,7021 CN,1497,924,3,2,0,2,0,828,99,0,2,0,0,0,927,139,135,305,100,72,79,94
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Muziekcentrum Union Zelhem,1876::SB7,7021 KH,1461,912,7,2,0,0,0,850,71,0,0,0,0,0,921,139,123,318,102,71,64,95
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Dorpshuis D'n Draejer / Zelhem,1876::SB8,7021 KT,911,517,4,1,0,0,0,471,51,0,0,0,0,0,522,128,78,146,35,34,33,63
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau ARX theater / Zelhem,1876::SB9,7021 HC,646,320,0,0,0,0,0,278,42,0,0,0,0,0,320,64,67,77,30,15,35,32
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Heidehuus,1876::SB10,7025 CL,493,286,0,0,0,0,0,257,29,0,0,0,0,0,286,63,35,94,19,13,45,17
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Café-restaurant Nijhof / Halle,1876::SB11,7025 AA,1168,630,2,3,0,0,0,582,53,0,0,0,0,0,635,132,96,203,57,43,64,35
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Het Witte Paard 2.0,1876::SB12,7021 HA,1296,573,3,1,0,0,0,534,43,0,0,0,0,0,577,112,58,184,98,37,38,46
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Voorm. Jan Ligthartschool / Zelhem,1876::SB13,7021 DL,1370,738,5,1,0,0,0,699,44,0,1,0,1,0,743,119,57,275,114,49,77,47
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Kulturhus Vorden,1876::SB14,7251 AB,1511,1246,4,5,0,0,0,1178,78,1,0,1,0,0,1256,317,217,190,138,123,211,50
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Basisschool Het Hoge / Vorden,1876::SB15,7251 XX,1452,677,9,0,0,0,0,616,62,0,8,0,8,0,678,136,147,94,78,75,120,27
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Basisschool De Vordering / Vorden,1876::SB16,7251 BH,1598,1067,1,3,0,1,0,994,76,0,1,0,0,0,1070,227,229,177,104,114,171,45
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Basisschool De Kraanvogel / Vorden,1876::SB17,7251 LT,1040,598,5,0,0,0,0,542,61,0,0,0,0,0,603,207,127,87,21,48,79,29
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Basisschool De Garve / Wichmond,1876::SB18,7234 SM,1095,703,2,1,0,0,0,631,75,0,0,0,0,0,706,221,148,111,31,81,96,15
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Sporthal / Steenderen,1876::SB19,7221 BA,971,662,3,0,0,0,0,602,63,0,0,0,0,0,665,114,119,161,64,53,136,15
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Dorpshuis Olburgen,1876::SB20,7225 NA,295,204,3,1,0,0,0,189,19,0,0,0,0,0,208,45,28,48,9,34,30,10
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Basisschool De Rank/Toldijk,1876::SB21,7227 DC,697,479,1,0,0,0,0,433,47,0,0,0,0,0,480,177,112,80,24,22,49,15
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Het Wapen van Baak,1876::SB22,7223 LH,901,543,6,0,0,0,0,511,38,0,0,0,0,0,549,133,120,96,35,49,94,16
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Sportcafé Hessenhal,1876::SB23,6997 AH,878,575,4,1,0,0,0,522,58,0,0,0,0,0,580,90,147,75,47,82,118,16
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Zorgcentrum Hyndendael / Hummelo,1876::SB24,6999 AN,1302,871,9,1,0,0,0,810,71,0,0,0,0,0,881,296,159,96,71,97,120,32
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau Dorpshuis Drempt,1876::SB25,6996 AG,853,526,4,3,0,0,0,493,40,0,0,0,0,0,533,165,71,80,48,63,83,16
,Bronckhorst,GR2018_Bronckhorst,Gemeenteraad Bronckhorst 2018,1876,Bronckhorst,2018-03-21,Stembureau 't Hessenhuus,1876::SB26,6996 DD,501,282,2,0,0,0,0,259,25,0,0,0,0,0,284,134,45,33,20,9,31,10
