contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Verenigde Communistische Partij (VCP),Partij van de Arbeid (P.v.d.A.),CDA,Partij voor het Noorden,VVD,Democraten 66 (D66),ChristenUnie,Oldambt Aktief,Burgerbelangen Oldambt,GROEP HOP,Gemeentebelangen Oldambt
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau De Boschpoort,1895::SB1,9671 GB,1179,856,4,3,0,0,0,789,74,0,0,0,0,0,863,101,74,152,40,97,131,78,46,32,20,0,85
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Leger des Heils,1895::SB2,9671 CC,1091,526,5,2,0,0,0,491,42,0,0,0,0,0,533,48,33,60,64,57,108,30,23,19,13,1,70
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1608,790,3,4,0,0,0,723,74,0,0,0,0,0,797,99,91,147,65,74,98,42,45,42,15,1,71
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1289,560,5,2,0,0,0,521,46,0,0,0,0,0,567,81,66,100,13,80,59,38,23,35,15,0,50
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau SOB kazerne,1895::SB5,9675 HJ,1418,794,2,0,0,1,0,719,78,0,0,1,0,0,797,80,67,117,48,88,152,67,43,34,23,1,74
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Speeltuinvereniging Bovenburen,1895::SB6,9675 JW,1472,576,6,3,0,0,0,527,58,0,0,0,0,0,585,71,83,91,27,60,53,38,28,39,7,1,78
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau De Renselheerdt,1895::SB7,9675 AB,1114,586,4,2,0,1,0,552,41,0,0,1,0,0,593,110,70,112,38,53,44,25,32,41,9,1,51
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Voormalig SBO Delta,1895::SB8,9675 HH,1074,360,0,3,0,0,0,333,30,0,0,0,0,0,363,66,41,47,15,43,42,25,17,24,7,2,31
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Het Parkholt,1895::SB9,9675 JA,1412,896,4,3,0,0,0,850,53,0,0,0,0,0,903,94,40,132,69,101,189,76,48,28,23,2,94
,Oldambt,GR2018_Oldambt,Gemeenteraad Oldambt 2018,1895,Oldambt,2018-03-21,Stembureau Campus Winschoten,1895::SB10,9673 GS,1227,445,4,2,0,0,0,418,33,0,0,0,0,0,451,48,42,64,19,44,94,30,29,13,12,2,48
