contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Winterswijks Belang,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,Kansrijk Winterswijk
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Gemeentekantoor,0294::SB1,7101 GH,1594,1325,8,3,0,1,0,1226,109,0,1,0,0,0,1335,373,330,178,125,95,164,60
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Vrije Basisschool de Esch,0294::SB2,7101 JH,1560,947,2,1,0,0,0,890,60,0,0,0,0,0,950,242,259,177,63,64,127,15
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Regionaal Verpleeghuis Pronsweide,0294::SB3,7101 BH,1307,929,2,2,0,0,0,858,75,0,0,0,0,0,933,218,273,143,83,96,98,18
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau o.b.s. De Kolibrie,0294::SB4,7101 VG,2138,889,4,4,0,0,0,836,59,0,2,0,0,0,895,235,209,108,138,69,85,45
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Woonzorgcentrum de Pelkwijk,0294::SB5,7101 WL,2118,1017,4,3,0,1,0,948,77,0,0,1,0,0,1025,231,280,128,137,81,112,48
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Woonzorgcentrum Vredense Hof,0294::SB6,7101 LM,1783,997,6,3,0,1,0,933,74,0,0,1,0,0,1007,253,261,137,140,74,100,32
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Woonzorgcentrum De Berkhof,0294::SB7,7103 VX,1617,950,2,2,0,0,0,875,79,0,0,0,0,0,954,233,261,132,113,76,102,33
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau o.b.s. Bargerpaske,0294::SB8,7103 AW,1638,1346,6,4,0,2,0,1273,85,0,0,2,0,0,1358,361,350,186,154,119,149,27
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau o.b.s. De Schakel,0294::SB9,7102 CN,2188,1075,4,6,0,0,0,1014,71,0,0,0,0,0,1085,271,296,162,116,105,77,48
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Verenigingsgebouw De Eendracht,0294::SB10,7104 AK,1168,763,4,0,0,7,0,709,65,0,0,7,0,0,774,57,385,183,63,37,30,8
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Centrumgebouw camping 'de Twee Bruggen',0294::SB11,7109 AH,720,490,1,0,0,0,0,446,45,0,0,0,0,0,491,58,165,182,16,15,40,14
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Emmaschool Henxel,0294::SB12,7113 AE,860,574,0,0,0,0,0,527,47,0,0,0,0,0,574,50,211,212,26,38,32,5
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Zalencentrum Reuselink,0294::SB13,7115 AG,1515,862,2,2,0,0,0,787,79,0,0,0,0,0,866,117,222,352,40,36,84,11
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Streekziekenhuis Beatrix,0294::SB14,7101 BN,1085,538,0,1,0,0,0,494,45,0,0,0,0,0,539,133,154,107,40,49,43,12
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau Zalencentrum De Harmonie,0294::SB15,7101 AJ,1793,812,3,2,0,1,0,756,60,0,1,0,0,0,816,196,221,137,73,65,101,19
,Winterswijk,GR2018_Winterswijk,Gemeenteraad Winterswijk 2018,0294,Winterswijk,2018-03-21,Stembureau De Revolutie,0294::SB16,7101 DA,0,115,0,0,0,0,0,107,8,0,0,0,0,0,115,24,23,22,9,30,5,2
