contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),GBBL Ubach over Worms,SP (Socialistische Partij),GBBL Schaesberg,CDA,GROENLINKS,VVD,8,Democraten 66 (D66),Ouderen Partij Landgraaf,11
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Raadhuis,0882::SB1,6371LA,1437,1283,10,1,0,0,0,1135,159,0,0,0,0,0,1294,141,118,103,121,146,54,62,78,30,110,320
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Zorgcentrum De Dormig,0882::SB2,6371XN,1145,581,3,1,0,0,0,507,78,0,0,0,0,0,585,56,22,44,109,75,25,48,41,19,63,79
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Ontmoetingsruimte A gen Bruk,0882::SB3,6371HW,1283,573,6,1,0,0,0,507,73,0,0,0,0,0,580,48,18,52,158,70,27,39,50,18,37,56
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Parochiezaal Kerkplein,0882::SB11,6372EZ,1487,878,9,2,0,0,0,790,99,0,0,0,0,0,889,97,28,91,251,113,51,29,51,30,75,62
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Ontmoetingsruimte A gen Maar,0882::SB12,6372EP,1542,779,3,5,0,0,0,681,105,0,1,0,0,0,786,57,35,76,251,107,25,45,44,17,85,37
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Zorgcentrum Dr. Calshof,0882::SB22,6372SP,1853,986,5,8,0,0,0,918,81,0,0,0,0,0,999,81,29,114,371,107,33,54,44,45,62,46
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau De Oefenbunker,0882::SB23,6371HX,742,327,5,2,0,0,0,302,32,0,0,0,0,0,334,23,13,51,106,22,31,13,8,11,35,14
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Basisschool Harlekijn,0882::SB30,6372AC,1513,619,2,1,0,0,0,545,77,0,0,0,0,0,622,45,36,76,223,42,31,25,28,38,48,27
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau 't Naoberhoes De Wendelwiek,0882::SB32,6372VV,1745,780,7,2,0,0,0,689,100,0,0,0,0,0,789,90,30,95,209,49,49,37,47,49,76,49
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Buurthuis de Molt,0882::SB42,6371EC,1484,680,3,2,0,0,0,590,95,0,0,0,0,0,685,64,28,50,188,56,47,95,36,13,52,51
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Harmoniezaal SUN-plein,0882::SB101,6373LG,1598,795,3,5,0,0,0,692,111,0,0,0,0,0,803,90,91,69,53,83,39,26,61,15,49,219
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Scounting  St. Tarciscius,0882::SB111,6373CW,1548,714,6,0,0,0,0,624,96,0,0,0,0,0,720,86,68,58,37,55,38,44,62,16,36,214
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Ontmoetingscentrum Oude Heide,0882::SB112,6373GJ,2023,835,1,2,0,0,0,758,80,0,0,0,0,0,838,105,81,57,25,57,26,40,70,14,81,279
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Basisschool 't Valder,0882::SB121,6373TT,1937,940,6,1,0,0,0,807,140,0,0,0,0,0,947,136,67,72,31,85,53,66,89,24,56,261
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Gemeenschapshuis 't Stroatje,0882::SB201,6374KC,1358,687,2,5,0,0,0,587,107,0,0,0,0,0,694,63,254,33,11,92,24,33,59,9,60,49
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Zorgcentrum Heereveld,0882::SB202,6374EN,978,507,4,4,0,0,0,470,45,0,0,0,0,0,515,51,188,29,9,78,15,18,23,15,40,41
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Basisschool De Wegwijzer,0882::SB203,6374AN,1252,679,3,1,0,0,0,600,83,0,0,0,0,0,683,48,286,39,11,76,32,41,26,29,35,56
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Basisschool An d'r Put,0882::SB204,6374HR,1149,755,2,3,0,0,0,663,97,0,0,0,0,0,760,63,288,30,13,121,27,26,55,13,51,68
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Cafe d'r Sjtee Uul,0882::SB211,6374GS,1564,717,4,4,0,0,0,623,102,0,0,0,0,0,725,55,300,43,20,95,17,21,35,11,53,67
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Basisschool de Speurneus,0882::SB212,6374NJ,1628,821,3,1,0,0,0,709,116,0,0,0,0,0,825,69,335,49,20,78,36,51,49,19,32,83
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Gemeenschapshuis De Residentie,0882::SB221,6374BK,1479,774,6,4,0,0,0,666,118,0,0,0,0,0,784,65,346,56,20,52,33,39,72,13,47,31
,Landgraaf,GR2018_Landgraaf,Gemeenteraad Landgraaf 2018,0882,Landgraaf,2018-03-21,Stembureau Gemeenschapshuis D'r Eck,0882::SB231,6374LV,603,404,0,0,0,0,0,348,56,0,0,0,0,0,404,30,187,16,3,25,36,34,23,11,24,15
