contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Combinatie95,BALANS,SP (Socialistische Partij),CDA,INbox,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,Democraten 66 (D66),VVD
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Gemeentehuis Boxtel,0757::SB1,5281 AT,1419,1331,4,4,0,0,0,1207,132,0,0,0,0,0,1339,170,275,188,190,122,114,155,117
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Wereldhuis,0757::SB2,5281 AB,2123,962,5,0,0,0,0,867,100,0,0,0,0,0,967,139,202,111,175,92,78,95,70
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Stembureau WSD station,0757::SB3,5281 GH,1699,807,12,7,0,0,0,748,78,0,0,0,0,0,826,94,149,180,83,74,73,97,57
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Ursulagebouw,0757::SB4,5281 HV,1211,637,3,0,0,0,0,588,52,0,0,0,0,0,640,77,99,80,96,101,59,79,46
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Woon-zorgcentrum Simeonshof,0757::SB5,5282 PA,1551,732,4,2,0,0,0,671,67,0,0,0,0,0,738,97,158,145,104,80,43,67,38
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Gemeenschapshuis De Walnoot,0757::SB6,5282 GC,1829,1093,4,3,0,2,0,1095,3,0,2,0,0,0,1098,106,164,219,128,130,84,221,41
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Gemeenschapshuis De Rots,0757::SB7,5283 CA,2132,1051,10,0,0,0,0,968,96,0,0,3,0,0,1064,123,192,265,103,103,83,125,57
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Basisschool De Vorsenpoel,0757::SB8,5283 CV,1819,787,3,1,0,0,0,706,86,0,0,1,0,1,792,93,137,124,113,80,55,109,76
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Brede School De Wilgenbroek,0757::SB9,5283 EE,1711,811,6,0,0,0,0,727,90,0,0,0,0,0,817,106,161,149,111,51,78,114,41
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Basisschool De Beemden,0757::SB10,5283 KG,1808,1079,4,1,0,0,0,995,88,0,1,0,1,0,1083,141,223,182,131,105,88,136,73
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Gemeenschapshuis De Orion,0757::SB11,5281 LG,977,600,0,2,0,0,0,550,52,0,0,0,0,0,602,141,207,29,91,21,27,38,46
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Eethuis 't Tweespan,0757::SB12,5281 LR,858,520,2,0,0,0,0,438,84,0,0,0,0,0,522,46,282,22,84,24,21,21,20
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Dienstencentrum Kloosterhof,0757::SB13,5298 BW,1944,1276,2,2,0,0,0,1155,125,0,0,0,0,0,1280,719,187,54,160,23,26,44,63
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Jeugdhuis Pius X,0757::SB14,5298 VN,1857,976,3,5,0,1,0,891,94,0,0,1,0,0,985,502,182,44,93,25,22,42,66
,Boxtel,GR2018_Boxtel,Gemeenteraad Boxtel 2018,0757,Boxtel,2018-03-21,Stembureau Waterschap de Dommel,0757::SB15,5283 WB,1488,602,1,1,0,0,0,529,75,0,0,0,0,0,604,65,121,90,67,33,45,111,70
