contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen Hoogeveen e.o.,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Democraten 66 (D66),GROENLINKS,Staatkundig Gereformeerde Partij (SGP)
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Het Raadhuis,0118::SB1,7901 BP,1683,1044,3,12,0,0,0,974,85,0,0,0,0,0,1059,261,217,107,80,87,165,61,47,19
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau De Westerkim,0118::SB2,7901 CN,1504,666,5,5,0,0,0,622,54,0,0,0,0,0,676,202,146,57,37,89,64,31,21,19
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau J. v.d. Sleedenhuis,0118::SB3,7901 AH,1301,512,0,2,0,0,0,484,30,0,0,0,0,0,514,134,111,44,39,42,67,37,26,12
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Het Knooppunt,0118::SB4,7902 JG,1322,676,3,4,0,0,0,642,41,0,0,0,0,0,683,147,145,78,68,74,75,34,30,25
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau NNCZ Grote Beer,0118::SB5,7904 LW,1986,752,4,2,0,0,0,679,79,0,0,0,0,0,758,106,171,87,100,91,105,52,21,19
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Schoolwoning Erflanden,0118::SB6,7908 XN,2211,1293,6,1,0,0,0,1178,122,0,0,0,0,0,1300,302,224,47,73,158,269,132,66,22
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau MFC De Magneet,0118::SB7,7904 LW,1987,1145,6,7,0,0,0,1064,94,0,0,0,0,0,1158,195,277,193,125,149,79,54,55,18
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Oosterkerk,0118::SB8,7905 CA,1615,1066,6,4,0,0,0,1004,73,0,0,1,0,0,1077,219,211,112,104,146,98,82,65,29
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau WZC Wolfsbos,0118::SB9,7905 AA,1756,679,8,3,0,0,0,638,52,0,0,0,0,0,690,117,184,85,88,72,38,38,40,17
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Buurthuis DES-gebouw,0118::SB10,7906 WG,1615,594,2,5,0,0,0,554,47,0,0,0,0,0,601,82,174,106,52,50,53,25,30,22
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau School Zuiderbreedte,0118::SB11,7906 GA,1457,817,3,4,0,0,0,776,48,0,0,0,0,0,824,177,175,91,69,104,77,44,42,38
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,"Stembureau De Goede Herderkerk,ingang Lomanln",0118::SB12,7906 LL,1451,772,2,2,0,0,0,739,37,0,0,0,0,0,776,190,164,81,70,109,59,33,33,33
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Maranatha kerk,0118::SB13,7907 EG,1397,543,0,1,0,0,0,488,54,0,2,0,0,0,542,100,145,71,48,55,67,28,16,13
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau WZC De Vecht,0118::SB14,7908 HV,1209,669,6,2,0,0,0,623,54,0,0,0,0,0,677,173,121,47,55,65,103,51,49,5
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Flat Weideheem I,0118::SB15,7909 GD,1248,557,5,2,0,0,0,518,46,0,0,0,0,0,564,120,106,80,55,72,40,42,39,3
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Basisschool 't Kienholt,0118::SB16,7908 BJ,1322,742,6,0,0,0,0,693,55,0,0,0,0,0,748,145,180,63,60,76,81,64,63,10
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Buurthuis De Weideblik,0118::SB17,7908 LL,1507,978,9,5,0,1,0,919,74,0,0,1,0,0,993,250,188,75,90,95,142,78,52,8
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau MFC De Cirkel,0118::SB18,7914 PM,1548,914,3,2,0,0,0,831,88,0,0,0,0,0,919,272,282,33,31,131,44,37,15,69
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Dorpscentrum 't Anker,0118::SB19,7913 AE,1832,917,3,2,0,0,0,836,86,0,0,0,0,0,922,133,324,105,75,102,61,29,29,59
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau WZC Beatrix,0118::SB20,7913 TZ,1816,987,1,9,0,1,0,893,103,0,1,0,0,0,996,208,403,51,70,81,40,39,31,64
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau De Open Deur,0118::SB21,7916 PC,1091,443,0,1,0,0,0,385,59,0,0,0,0,0,444,76,147,24,80,25,30,13,27,21
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Buurthuis 't Vonder,0118::SB22,7916 RA,1093,404,3,1,0,0,0,365,43,0,0,0,0,0,408,56,137,26,79,32,25,16,18,15
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Jul. van Stolbergschool,0118::SB23,7902 JD,1752,527,3,1,0,0,0,488,43,0,0,0,0,0,531,94,102,75,59,52,66,39,32,8
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau O.B.S. De Schuthoek,0118::SB24,7908 EE,1565,807,4,0,0,0,0,754,57,0,0,0,0,0,811,124,215,85,87,71,96,60,59,10
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Sporthal Trasselt,0118::SB25,7908 PB,1509,1221,8,3,0,0,0,1146,86,0,0,0,0,0,1232,294,194,50,94,126,202,151,87,23
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Dorpshuis 't Overschotje,0118::SB26,7931 TL,586,403,0,2,0,0,0,370,35,0,0,0,0,0,405,91,145,13,12,26,77,20,13,6
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau De Wenning,0118::SB27,7933 PW,1274,833,3,2,0,0,0,764,74,0,0,0,0,0,838,205,162,42,56,57,230,43,28,10
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau MFC De Opsteker,0118::SB28,7918 AX,1084,626,0,1,0,2,0,573,56,0,0,2,0,0,629,129,278,44,17,54,39,18,22,25
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Vereniging Ons Dorpshuis,0118::SB29,7934 PE,437,294,0,0,0,0,0,270,24,0,0,0,0,0,294,35,131,4,29,23,34,15,16,7
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau Dorpshuis De Vuurkörf,0118::SB30,7912 TH,681,406,0,0,0,0,0,366,40,0,0,0,0,0,406,123,100,28,14,71,23,4,16,27
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau MFC De Eiken,0118::SB31,7936 PB,605,331,0,1,0,0,0,299,33,0,0,0,0,0,332,57,110,32,15,34,27,20,21,15
,Hoogeveen,GR2018_Hoogeveen,Gemeenteraad Hoogeveen 2018,0118,Hoogeveen,2018-03-21,Stembureau NS Station,0118::SB33,7901 AA,0,232,0,0,0,0,0,218,14,0,0,0,0,0,232,44,40,19,9,33,21,36,23,7
