contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Fractie Franssen,CDA,Balans Gulpen-Wittem,PRO Gulpen-Wittem
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeentehuis, Willem Vliegenstraat 12,",1729::SB1,6271DA,1183,897,8,1,0,0,0,781,126,0,0,1,0,0,907,242,224,86,345
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,Stembureau Zorgcentr Dr. Ackenshuis (leveranciersin,1729::SB2,6271EA,1067,625,1,4,0,0,0,517,113,0,0,0,0,0,630,239,117,71,198
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis Reijmerstok,",1729::SB3,6274NK,676,417,7,2,0,0,0,373,53,0,0,0,0,0,426,55,235,31,96
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis Wielderhoes, Van",1729::SB4,6321BG,1102,671,4,2,0,0,0,601,76,0,0,0,0,0,677,196,164,153,158
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Basisschool Op de Tien Bunder,",1729::SB5,6321CP,998,663,4,6,0,0,0,603,70,0,0,0,0,0,673,166,152,187,158
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis A gen Sjoeël,",1729::SB6,6281AE,1543,1037,2,4,0,0,0,900,144,0,0,1,0,0,1044,317,260,85,375
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis Patronaat (Leeszaal),",1729::SB7,6285BD,917,584,11,7,0,0,0,507,95,0,0,0,0,0,602,110,192,158,124
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Café A gen Baag, Kerkstraat 17,",1729::SB8,6286CA,596,388,3,1,0,0,0,340,52,0,0,0,0,0,392,18,48,254,68
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis A ge Wienhoes,",1729::SB9,6286AM,593,444,4,5,0,0,0,398,55,0,0,0,0,0,453,90,107,98,149
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Woonzorgcomplex Agathahöfke,",1729::SB10,6287AL,1422,1026,3,3,0,0,0,913,119,0,0,0,0,0,1032,53,413,241,319
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Gemeenschapshuis Wilder Tref, Pres",1729::SB11,6286BG,410,277,4,1,0,0,0,261,21,0,0,0,0,0,282,128,25,44,80
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Fanfarezaal Berg en Dal, Dorpsstraat 27",1729::SB12,6277NC,531,404,4,4,0,0,0,353,59,0,0,0,0,0,412,72,121,76,135
,Gulpen-Wittem,GR2018_GulpenWittem,Gemeenteraad Gulpen-Wittem 2018,1729,Gulpen-Wittem,2018-03-21,"Stembureau Verpleeghuis Klein Gulpen, Oude Rijksweg",1729::SB13,6271AA,1068,618,3,0,0,0,0,542,79,0,0,0,0,0,621,146,152,44,276
