contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,SP (Socialistische Partij),ieders Belang,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),CDA,Verenigde Senioren Partij,ChristenUnie,GROENLINKS,Stadspartij Núwegein,LOKALE VERNIEUWING
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Stadshuis I,0356::SB1,3431 LZ,1518,708,8,5,0,9,0,665,47,0,9,0,0,0,712,147,87,37,69,74,52,80,37,54,29,42
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Stadshuis II,0356::SB2,3431 LZ,1240,680,3,6,0,1,0,650,38,0,1,0,0,0,688,115,89,34,64,79,44,73,37,64,30,51
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Obs de Schakel,0356::SB3,3431 AC,1899,585,6,3,0,0,0,541,53,0,0,0,0,0,594,71,67,33,71,66,67,70,35,56,28,21
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau De Wenck,0356::SB4,3431 TC,1668,723,7,3,0,0,0,673,60,0,0,0,0,0,733,116,98,31,56,79,60,79,35,71,43,55
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau K4N (Kledingbank),0356::SB5,3431 CG,1458,630,7,2,0,1,0,588,52,0,0,1,0,0,640,125,81,34,50,56,69,53,55,65,19,23
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1355,874,1,5,0,0,0,799,81,0,0,0,0,0,880,146,95,44,86,97,71,86,67,85,24,73
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau De Cimbaal,0356::SB7,3438 DA,1152,537,4,2,0,0,0,479,64,0,0,0,0,0,543,83,66,36,53,51,43,46,40,54,26,39
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau RK basisschool Vroonestein,0356::SB8,3438 RA,1646,798,5,2,0,0,0,723,82,0,0,0,0,0,805,144,106,39,84,102,65,60,38,62,25,73
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau ROC MN ICT-College,0356::SB9,3438 ED,931,410,2,2,0,0,0,369,45,0,0,0,0,0,414,85,51,20,49,46,44,36,13,37,5,24
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1533,620,3,1,0,0,0,560,63,0,1,0,1,0,623,137,88,35,51,59,44,61,29,45,16,55
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Kinderdagverblijf De Toverfluit,0356::SB11,3437 XB,1625,744,6,0,0,0,0,698,52,0,0,0,0,0,750,168,55,55,58,77,70,62,51,62,22,64
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau PC bs Pr.Margriet locatie Noord I,0356::SB12,3437 CA,1289,896,1,1,0,0,0,817,81,0,0,0,0,0,898,160,90,47,78,92,89,90,54,96,44,56
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau PC bs Pr.Margriet locatie Noord II,0356::SB13,3437 CA,1506,791,8,6,0,0,0,728,77,0,0,0,0,0,805,151,94,45,72,78,80,77,48,64,22,60
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Openbare basisschool De Meander II,0356::SB14,3436 GE,1417,528,8,2,0,0,0,488,50,0,0,0,0,0,538,102,52,40,57,51,50,53,13,43,24,43
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Openbare basisschool De Meander I,0356::SB15,3436 GE,1789,619,2,1,0,0,0,558,64,0,0,0,0,0,622,121,63,37,75,77,35,41,33,74,27,36
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,"Stembureau PC bs Pr.Margriet, locatie Zuid",0356::SB16,3436 GB,1733,709,5,1,0,0,0,641,74,0,0,0,0,0,715,151,61,64,52,46,55,81,59,49,25,66
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Scholengemeenschap Anna van Rijn,0356::SB17,3435 XA,1907,804,4,3,0,0,0,724,87,0,0,0,0,0,811,111,87,44,68,107,58,97,59,91,35,47
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Openbare basisschool De Krullevaar,0356::SB18,3435 BZ,1794,827,9,1,0,0,0,767,73,3,0,3,0,0,840,150,85,58,76,117,46,76,45,101,32,41
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Buurtplein Doorslag,0356::SB19,3435 EP,1123,648,2,4,0,0,0,592,64,2,0,2,0,0,656,90,69,42,61,50,75,69,62,60,28,42
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Wijkhuis De Steeg,0356::SB20,3432 TK,1934,891,5,0,0,0,0,798,98,0,0,0,0,0,896,128,116,73,60,95,61,64,89,116,36,53
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Daltonschool Uniq-Deldenseschans 2,0356::SB21,3432 XW,1846,694,3,2,0,0,0,626,73,0,0,0,0,0,699,137,69,40,66,86,29,40,36,87,35,69
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau Jenaplanschool De Zuiderkroon,0356::SB22,3432 SZ,1345,640,5,2,0,0,0,588,59,0,0,0,0,0,647,111,76,52,55,80,33,70,30,73,19,41
,Nieuwegein,GR2018_Nieuwegein,Gemeenteraad Nieuwegein 2018,0356,Nieuwegein,2018-03-21,Stembureau PC basisschool Maurits,0356::SB23,3434 CA,1637,623,5,2,0,0,0,559,70,0,1,0,1,0,629,104,57,32,55,46,35,86,100,46,20,42
