contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Senioren Hollands Kroon,LADA (Democratie Anders),VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ANDERS !,ChristenUnie,GROENLINKS,OHK (Onafhankelijk Hollands Kroon)
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Brede School De Oude Boomgaard,1911::SB1,1733 AZ,3187,350,3,1,0,0,0,320,36,0,0,2,0,0,356,36,54,92,62,26,35,6,6,25,8
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Woonzorgcomplex De Carrousel,1911::SB2,1764 GM,1207,434,2,1,0,0,0,395,42,0,0,0,0,0,437,106,3,80,139,18,23,10,21,21,13
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Café De Brug,1911::SB3,1761 JR,807,352,3,1,0,0,0,324,32,0,0,0,0,0,356,70,9,102,47,25,15,20,12,42,10
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Café Wapen van Holland,1911::SB4,1761 EB,1648,953,3,2,0,0,0,884,74,0,0,0,0,0,958,175,33,189,252,66,74,20,30,73,41
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Zwembad Den Krieck,1911::SB5,1764 HD,1300,985,1,4,0,0,0,911,79,0,0,0,0,0,990,190,10,195,338,41,89,16,39,32,35
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Wijksteunpunt Keijzershoff,1911::SB6,1761 BR,1207,1025,8,2,0,0,0,985,50,0,0,0,0,0,1035,384,32,118,151,97,61,26,56,61,39
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Zorgcentrum Noorderlicht,1911::SB7,1777 BA,2455,1478,9,1,0,0,0,1358,130,0,0,0,0,0,1488,331,13,172,110,119,89,29,43,95,477
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Dorpshuis 't Skrale End,1911::SB8,1778 KM,741,386,5,1,0,0,0,365,27,0,0,0,0,0,392,107,3,31,27,38,27,10,19,31,93
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Zorgcentrum Kapellehof,1911::SB9,1779 BJ,1450,460,2,1,0,0,0,423,40,0,0,0,0,0,463,173,6,34,33,34,13,10,22,27,108
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Amerikaanse schoolbus,1911::SB10,1761 VM,400,228,0,0,0,0,0,197,31,0,0,0,0,0,228,28,15,40,24,58,19,7,4,24,9
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau Kantine vv Wiron,1911::SB11,1779 XM,721,460,2,0,0,0,0,420,42,0,0,0,0,0,462,153,8,51,44,33,14,4,12,29,112
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau De Cultuurschuur,1911::SB12,1771 CE,1354,1439,10,1,0,0,0,1375,75,0,0,0,0,0,1450,294,28,193,194,119,90,147,168,44,162
,Hollands Kroon,GR2018_HollandsKroon,Gemeenteraad Hollands Kroon 2018,1911,Hollands Kroon,2018-03-21,Stembureau De Meerbaak,1911::SB13,1775 BH,2755,1543,8,6,0,0,0,1416,141,0,0,0,0,0,1557,274,19,280,317,68,87,138,171,65,124
