contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokale Partij Vlissingen,Partij Souburg-Ritthem,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,POV perspectief op Vlissingen!,ChristenUnie,Vlissings Belang,50PLUS
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Hal Stadhuis (1),0718::SB1,4382 LG,1206,844,4,5,0,0,0,758,95,0,0,0,0,0,853,163,19,62,98,37,67,42,49,63,112,21,35,76
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Zorgcentrum Scheldehof,0718::SB2,4381 EN,1367,645,1,3,0,0,0,598,51,0,0,0,0,0,649,129,20,57,70,28,36,31,34,79,67,22,11,61
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau v/m Bibliotheek 't Spui,0718::SB3,4381 HR,1390,672,8,3,0,1,0,636,46,0,1,0,0,0,682,155,12,47,70,49,53,19,29,64,83,15,23,53
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,4381 VB,1302,497,0,2,0,0,0,465,34,0,0,0,0,0,499,104,10,57,44,24,47,18,24,60,42,9,23,35
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal De Combinatie (1),0718::SB5,4382 KB,1049,480,3,5,0,0,0,440,48,0,0,0,0,0,488,88,12,59,69,19,29,11,20,31,35,12,27,68
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB6,4382 CJ,1351,756,5,6,0,0,0,688,79,0,0,0,0,0,767,107,16,51,58,38,81,61,67,71,80,19,17,90
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Kantine Beheer Gemeente Vlissingen,0718::SB7,4383 AZ,1102,419,0,0,0,0,0,382,37,0,0,0,0,0,419,60,5,21,36,25,52,34,44,36,54,3,16,33
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau De Vlissingse Schoolvereniging,0718::SB8,4383 WB,1251,457,2,0,0,0,0,413,46,0,0,0,0,0,459,98,21,27,32,37,44,17,28,25,25,14,20,69
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal  Louise de Colignyschool,0718::SB9,4384 EV,1612,1112,4,3,0,0,0,1038,81,0,0,0,0,0,1119,156,14,68,100,63,165,63,103,117,109,35,17,102
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal Theo Thijssenschool,0718::SB10,4384 PA,998,517,0,0,0,0,0,459,58,0,0,0,0,0,517,115,11,21,48,41,74,34,20,48,38,10,12,45
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal Apostolisch Genootschap,0718::SB11,4386 GZ,1329,1014,1,4,0,0,0,923,96,0,0,0,0,0,1019,212,27,32,62,75,193,59,69,70,71,31,25,88
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Stichting ROAT,0718::SB12,4385 AM,1278,520,1,0,0,0,0,479,42,0,0,0,0,0,521,98,48,54,42,14,29,26,44,34,28,26,25,52
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Het Bolwerk,0718::SB13,4386 EA,1231,565,8,0,0,0,0,521,52,0,0,0,0,0,573,93,37,61,40,34,44,26,46,45,44,29,20,46
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Adventkerk,0718::SB14,4386 AL,1330,757,2,1,0,2,0,690,72,0,0,2,0,0,762,85,162,33,52,39,64,31,107,56,29,53,14,32
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal Het Kroonjuweel,0718::SB15,4388 MD,1842,861,1,3,0,1,0,781,85,0,0,1,0,0,866,34,438,28,44,31,32,36,48,39,16,58,19,38
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Zorgcentrum De Zoute Viever,0718::SB16,4388 VJ,1671,711,3,1,0,0,0,653,62,0,0,0,0,0,715,31,355,30,32,18,19,26,30,36,34,38,11,51
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Activiteitencentrum De Kwikstaart,0718::SB17,4388 KK,1283,645,4,2,0,0,0,603,48,0,0,0,0,0,651,24,358,31,31,10,16,20,31,44,15,35,4,26
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal school De Tweemaster,0718::SB18,4388 CH,1576,706,0,1,0,0,0,648,59,0,0,0,0,0,707,24,401,32,32,16,22,11,41,45,26,22,10,24
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal wijkgebouw De Zwaan,0718::SB19,4388 HJ,1810,930,5,1,0,0,0,843,93,0,0,0,0,0,936,44,540,43,41,17,35,15,31,59,30,26,12,37
,Vlissingen,GR2018_Vlissingen,Gemeenteraad Vlissingen 2018,0718,Vlissingen,2018-03-21,Stembureau Lokaal Protestantse Kerk,0718::SB20,4389 TN,432,279,2,0,0,0,0,254,27,0,0,0,0,0,281,7,150,11,9,8,12,12,34,15,5,10,2,4
