contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,V.O.L.G.,Sociaal Groesbeek,Groesbeekse Volkspartij (GVP),VOOR BERG EN DAL (VBenD),Polderbreed,Partij van de Arbeid (P.v.d.A.),Gemeente- Jeugd- en Sportbelangen,GROENLINKS,VVD,Democraten 66 (D66)
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Gemeentehuis Groesbeek,1945::SB1,6562 AH,1154,942,2,5,0,0,0,859,90,0,0,0,0,0,949,213,137,121,166,9,8,62,5,100,89,32
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau De Meent,1945::SB2,6562 CZ,1071,727,1,7,2,0,0,671,66,0,0,2,0,0,737,145,92,97,160,7,0,77,4,70,51,24
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Kloostertuin, Stationsweg 9",1945::SB3,6561 BZ,1306,564,5,2,0,0,0,517,54,0,0,0,0,0,571,141,96,98,89,3,1,52,5,41,27,11
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Cultureel Centrum De Mallemolen,1945::SB5,6562 AT,902,521,1,1,0,0,0,468,55,0,0,0,0,0,523,110,71,86,115,0,0,45,7,50,22,15
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Sporthal Heuvelland,1945::SB6,6562 AV,1361,717,2,1,0,0,0,643,78,1,0,1,0,0,721,126,116,97,186,3,1,55,2,54,55,22
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Clubgebouw 'De Treffers',1945::SB7,6562 KW,1594,815,2,1,0,0,0,725,93,0,0,0,0,0,818,142,116,110,208,9,5,61,12,67,61,24
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Dorpshuis 'De Slenk',1945::SB8,6562 LK,1027,664,4,2,0,0,0,603,67,0,0,0,0,0,670,178,133,40,178,3,0,26,4,58,29,15
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Zalencentrum De Sleutel,1945::SB9,6562 DC,2092,1089,8,2,0,0,0,982,117,0,0,0,0,0,1099,251,275,151,149,9,3,70,8,93,55,25
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Vijverhof, Kwakkenbergweg 150",1945::SB10,6571 GE,1018,670,2,3,0,0,0,621,54,0,0,0,0,0,675,83,48,22,8,85,6,40,2,216,53,107
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau Dorpshuis Kerstendal,1945::SB11,6571 BM,1018,568,5,0,0,1,0,514,60,0,0,1,0,0,574,106,32,15,5,92,8,26,3,130,79,72
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,Stembureau 't Zaaltje,1945::SB12,6564 AH,832,488,3,1,0,0,0,444,48,0,0,0,0,0,492,77,61,7,12,26,2,29,2,113,88,71
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Pluryn, Zevenheuvelenweg 16",1945::SB14,6561 ES,1122,643,4,4,0,0,0,584,67,0,0,0,0,0,651,165,76,44,95,4,2,55,1,85,79,37
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Op de Heuvel, Ericastraat 39",1945::SB15,6561 VX,1979,769,7,5,0,0,0,682,99,0,0,0,0,0,781,77,93,253,168,10,4,62,8,52,33,9
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Sporthal De Duffelt, Gengske 10",1945::SB16,6566 WB,1235,537,3,2,0,0,0,503,39,0,0,0,0,0,542,49,13,3,0,15,51,17,312,40,26,11
,Berg en Dal,GR2018_BergenDal,Gemeenteraad Berg en Dal 2018,1945,Berg en Dal,2018-03-21,"Stembureau Hotel Millings Centrum, Heerbaan 186",1945::SB17,6566 EW,1165,655,4,0,0,0,0,598,61,0,0,0,0,0,659,40,7,4,5,9,55,27,366,93,27,22
