contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Trilokaal,Partij van de Arbeid (P.v.d.A.),ChristenUnie,GROENLINKS
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Julianakerk,1525::SB1,,1946,1024,6,3,0,0,0,932,101,0,0,0,0,0,1033,241,230,121,227,69,47,89
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Gemeentekantoor Teylingen,1525::SB2,,2424,974,3,1,0,0,0,879,99,0,0,0,0,0,978,269,216,115,197,75,40,62
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau Openb. Basisschool ""Het Bolwerk""",1525::SB3,,2202,1305,10,2,0,0,0,1192,125,0,0,0,0,0,1317,333,282,151,307,93,54,85
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau RK Basisschool ""De Springplank""",1525::SB4,,1692,873,12,2,0,0,0,831,57,0,0,1,0,0,888,176,163,110,243,74,29,78
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Zorggroep Marente loc. Bernardus,1525::SB5,,2107,1062,7,3,0,0,0,957,110,0,5,0,0,0,1067,244,197,130,255,94,48,94
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau obs Het Bolwerk locatie Diligence,1525::SB6,,1992,1032,1,2,0,0,0,942,93,0,0,0,0,0,1035,251,166,151,266,90,50,58
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau Soc. Cult. Centrum ""Het Trefpunt""",1525::SB9,,1831,1299,18,2,0,0,0,1163,159,0,0,3,0,0,1322,305,318,208,161,101,41,165
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Soc. Cult. Centrum Het Trefpunt 2,1525::SB10,,2075,911,4,3,0,0,0,831,87,0,0,0,0,0,918,237,208,128,145,48,38,107
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Bestuurscentrum Teylingen,1525::SB14,,2637,1289,10,2,0,0,0,1185,116,0,0,0,0,0,1301,368,196,215,203,95,81,131
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau De Roef (bij St. Bartholomeuskerk),1525::SB15,,2009,1156,2,3,0,0,0,1060,100,0,1,0,0,0,1160,320,290,138,168,77,85,78
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau Jeugdcentrum ""De Spelewey""",1525::SB16,,1805,944,10,5,0,0,0,891,72,0,0,4,0,0,963,219,203,110,177,76,67,92
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Jongerencentrum @hok,1525::SB17,,1807,893,7,1,0,0,0,809,94,0,0,2,0,0,903,336,135,141,139,47,39,56
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau RK Basisschool ""Emmaus""",1525::SB18,,2154,1175,3,1,0,0,0,1045,134,0,0,0,0,0,1179,347,212,156,212,66,61,121
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau Cluster ""Hoogh Teylingen""",1525::SB19,,2019,1054,8,1,0,4,0,952,115,0,0,4,0,0,1067,366,165,193,142,57,55,76
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Mobiel stemb. Sassembourg /GK,1525::SB20,,0,805,5,5,0,0,0,748,70,0,0,3,0,0,818,238,167,98,165,51,41,45
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,"Stembureau Mobiel stembureau ""Butterhuis""",1525::SB21,,0,79,0,0,0,0,0,64,15,0,0,0,0,0,79,6,61,4,0,0,0,8
,Teylingen,GR2018_Teylingen,Gemeenteraad Teylingen 2018,1525,Teylingen,2018-03-21,Stembureau Mobiel stembureau BC en BNS,1525::SB22,,0,627,1,2,0,0,0,577,53,0,0,0,0,0,630,178,125,89,88,34,43,70
