contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PNL (Partij Nieuw Laarbeek),De Werkgroep,Algemeen Belang Laarbeek,CDA,Partij van de Arbeid (P.v.d.A.),6
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Gemeentehuis Beek en Donk,1659::SB1,,1165,781,11,3,0,0,0,711,84,0,0,0,0,0,795,300,184,131,101,51,14
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Muziekcentrum 't Anker,1659::SB2,,1692,912,11,3,0,0,1,835,90,0,0,0,0,0,926,396,183,170,107,41,15
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Basisschool De Muldershof,1659::SB3,,1435,714,6,1,0,0,0,650,71,0,0,0,0,0,721,295,150,161,53,44,11
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Zorgboogcentrum De Regt,1659::SB4,,1352,615,4,2,0,0,0,550,71,0,0,0,0,0,621,249,109,135,71,42,9
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Herberg 't Huukske,1659::SB5,,2568,1311,6,4,0,1,0,1184,136,0,1,0,0,0,1320,506,207,291,212,69,26
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau De Dreef,1659::SB6,,2243,1184,12,1,0,0,0,1057,140,0,0,0,0,0,1197,491,342,127,121,76,27
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau De Pastorie,1659::SB7,,2331,1316,12,8,0,0,0,1186,150,0,0,0,0,0,1336,492,395,171,120,106,32
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Zorgboogcentrum Franciscushof,1659::SB8,,2026,1031,9,2,0,0,0,928,114,0,0,0,0,0,1042,496,147,161,103,52,72
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Dorpshuis Lieshout,1659::SB9,,1454,1000,12,8,0,0,0,907,113,0,0,0,0,0,1020,461,144,169,114,68,44
,Laarbeek,GR2018_Laarbeek,Gemeenteraad Laarbeek 2018,1659,Laarbeek,2018-03-21,Stembureau Buurthuis Mariahout,1659::SB10,,1540,895,2,1,0,1,0,788,111,0,0,1,0,0,899,434,159,152,96,19,35
