contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,VVD,Democraten 66 (D66),SP (Socialistische Partij),PvdA-GroenLinks,CDA
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Speelzaal tafeltennisvereniging PJS,0865::SB1,5261 BK,1567,1076,3,2,0,0,0,977,104,0,0,0,0,0,1081,252,211,206,46,245,116
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Woonzorgcentrum Elisabeth,0865::SB2,5261 VM,1513,1041,7,8,0,0,0,963,93,0,0,0,0,0,1056,264,207,150,97,252,71
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Visio De Vlasborch,0865::SB3,5261 TB,1652,849,6,2,0,0,0,777,79,0,1,0,0,0,856,313,79,95,138,185,39
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Het Kwartier,0865::SB4,5263 DP,1720,1023,0,0,0,0,0,872,151,0,0,0,0,0,1023,220,288,216,38,177,84
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Brasserie 155,0865::SB5,5263 CN,1693,1276,4,1,0,0,0,1083,198,0,0,0,0,0,1281,268,588,177,19,120,104
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau The Battle Axe,0865::SB6,5266 AG,1115,449,0,2,0,0,0,402,49,0,0,0,0,0,451,261,46,56,23,38,25
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Openbare Basisschool De Piramide,0865::SB7,5262 XE,1671,1129,1,5,0,0,0,1029,106,0,0,0,0,0,1135,244,167,237,112,309,60
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Jeugd- en jongerencentrum Elzenburg,0865::SB8,5262 GW,1400,657,0,4,0,0,0,593,68,0,0,0,0,0,661,249,60,64,97,154,33
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Basisschool De Wieken,0865::SB9,5262 EN,1290,614,5,1,0,0,0,573,47,0,0,0,0,0,620,230,73,74,97,100,40
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau OJBS De Lichtstraat,0865::SB10,5262 JH,1295,775,2,3,0,0,0,708,72,0,0,0,0,0,780,225,97,127,74,200,52
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Basisschool De Baarzen,0865::SB11,5262 HC,1272,998,6,6,0,0,0,935,75,0,0,0,0,0,1010,289,136,168,99,222,84
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Woonzorgcentrum Theresia,0865::SB12,5262 TN,1560,978,6,5,0,0,0,910,79,0,0,0,0,0,989,348,139,102,127,195,67
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau HealthCity Vught,0865::SB13,5262 LK,1865,682,4,1,0,0,0,623,64,0,0,0,0,0,687,237,107,88,72,139,39
,Vught,GR2018_Vught,Gemeenteraad Vught 2018,0865,Vught,2018-03-21,Stembureau Raadhuis,0865::SB14,5261 EV,1131,600,6,0,0,0,0,545,60,0,1,0,1,0,605,120,155,100,38,133,54
