contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Rotterdam,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,GROENLINKS,NIDA Rotterdam,ChristenUnie-SGP,Partij voor de Dieren,De Broederschapspartij,50PLUS,PVV (Partij voor de Vrijheid),DENK,JEZUS LEEFT,Stadsinitiatief Rotterdam,U-Buntu Connected Front (UCF),De Nieuwe Rotterdamsche Partij (NRP),Beweging Armoedebestrijding Rotterdam,Jong Rotterdam
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Coolsingel 40 links,0599::SB1,3011 AD,750,664,0,6,1,0,0,616,55,0,0,1,0,0,671,124,58,92,41,106,21,92,20,13,42,0,6,11,12,3,15,0,5,1,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Goudseweg 15 links,0599::SB2,3031 XH,1662,628,4,10,0,2,0,572,72,0,0,2,0,0,644,110,65,80,33,48,23,48,70,5,25,0,15,22,53,0,16,3,5,5,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Raampoortstraat 15,0599::SB3,3032 AH,1803,440,3,2,0,0,0,403,43,0,0,1,0,0,446,59,31,56,35,40,11,62,30,10,13,0,11,14,44,2,15,1,5,1,0
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Coloniastraat 25 links,0599::SB4,3024 TA,1692,656,9,8,0,0,0,617,56,0,0,0,0,0,673,75,67,78,43,47,11,133,32,15,32,1,13,8,56,4,24,4,3,6,4
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Van Moorselplaats 1,0599::SB5,3067 SH,1757,921,0,1,0,0,0,850,72,0,0,0,0,0,922,237,90,62,31,64,101,72,17,110,20,0,25,37,24,6,7,1,8,2,7
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Cypruslaan 404,0599::SB6,3059 XA,1834,1219,0,5,0,0,0,1065,161,2,0,2,0,0,1226,446,76,99,27,240,66,65,18,52,36,0,42,19,7,3,17,0,2,1,3
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Anna van Westrienenstraat 1,0599::SB7,3038 SX,2074,838,3,9,0,0,0,791,60,1,0,1,0,0,851,112,95,126,42,63,23,149,34,25,61,0,15,16,24,1,34,1,10,2,5
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Bergsingel 152 links,0599::SB8,3037 GM,459,614,5,1,0,0,0,573,47,0,0,0,0,0,620,77,64,124,25,86,8,116,12,18,31,0,9,6,11,0,15,0,9,1,2
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Cole Porterstraat 2,0599::SB9,3069 ZD,1511,731,2,1,0,1,0,674,61,0,0,1,0,0,735,245,78,58,33,109,39,48,5,19,24,0,32,21,1,1,14,0,2,1,1
,Rotterdam,GR2018_Rotterdam,Gemeenteraad Rotterdam 2018,0599,Rotterdam,2018-03-21,Stembureau Schiedamse Vest 188 links,0599::SB10,3011 BH,1365,654,3,2,0,2,0,610,51,0,0,2,0,0,661,99,74,116,21,117,23,86,23,2,23,0,15,9,14,0,18,2,8,3,1
