contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),Algemeen Belang Tholen,ChristenUnie,VVD,CDA,PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.)/GROENLINKS
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,"Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,,1330,902,1,1,0,0,0,818,87,1,0,1,0,0,905,178,87,72,150,163,61,88,103
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Dalemhof,0716::SB2,,1391,1034,0,0,0,0,0,889,145,0,0,0,0,0,1034,255,96,96,156,145,107,90,89
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,"Stembureau Gemeenschapscentrum ""Meulvliet""",0716::SB3,,1439,1038,0,5,0,0,0,885,158,0,0,0,0,0,1043,241,83,80,171,165,96,83,119
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Zalencentrum Ger.Gemeente,0716::SB4,,1984,1208,2,1,0,0,0,1011,204,4,0,4,0,0,1215,346,72,92,221,208,92,78,99
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Dorpshuis 't Ouwe Raed' uus,0716::SB5,,1288,786,0,1,0,0,0,696,92,1,0,1,0,0,788,199,79,67,79,81,107,118,56
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Sassegrave,0716::SB6,,1291,887,1,4,0,0,0,751,141,0,0,0,0,0,892,459,48,58,57,64,67,82,52
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,"Stembureau Gemeenschapscentrum ""Haestinge""",0716::SB7,,1565,889,0,1,0,0,0,748,142,0,0,0,0,0,890,180,69,152,73,116,48,122,129
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Zorgcentrum Maartenshof,0716::SB8,,1202,716,2,4,0,0,0,631,91,0,0,0,0,0,722,135,64,126,82,35,49,113,112
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Dorpshuis de Stove,0716::SB9,,1282,886,2,2,0,0,0,734,156,0,0,0,0,0,890,453,31,124,72,47,55,66,38
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Zorgcentrum de Schutse,0716::SB10,,1282,943,2,3,0,3,0,822,129,0,0,3,0,0,951,244,44,154,120,137,80,107,57
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,"Stembureau Gemeenschapscentrum ""Wellevaete""",0716::SB11,,1594,1072,0,3,0,0,0,918,157,0,0,0,0,0,1075,259,55,134,151,161,116,116,80
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,"Stembureau Dorpshuis ""De Vossenkuil""",0716::SB12,,2074,1302,2,2,0,0,0,1122,184,0,0,0,0,0,1306,163,97,87,131,288,217,208,111
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Dorpshuis De Wimpel,0716::SB13,,1696,1097,4,1,0,0,0,941,161,0,0,0,0,0,1102,437,76,51,147,132,87,121,46
,Tholen,GR2018_Tholen,Gemeenteraad Tholen 2018,0716,Tholen,2018-03-21,Stembureau Dorpshuis Ons Dorpshuis,0716::SB14,,357,215,1,0,0,0,0,200,16,0,0,0,0,0,216,28,15,20,20,22,69,21,20
